project,owner,status,countries,type,lat,lng,route,url,capacity1,capacity_unit1
Greenstream Gas Pipeline,"Eni S.p.A., National Oil Corporation",operating,"Libya, Italy",Gas,,,"32.75003734421941,12.59365402395139:32.91195205121201,12.87779875679618:37.10574050652379,14.16415894857844:37.46874755842312,14.17870416100197",https://www.gem.wiki/Greenstream_Pipeline,"182,561.01",BOE/d
Defa-Brega Gas Pipeline,"National Oil Corporation, 100.00%",operating,Libya,Gas,,,"27.9894,19.9051:27.9921,19.8986:28.0758,19.9204:28.1712,19.9219:28.2912,19.9177:28.2983,19.9218:28.3046,19.922:28.3782,19.9365:28.3923,19.9355:28.5093,19.8943:28.6196,19.8961:28.8116,19.8018:28.9162,19.7701:28.9384516,19.781:28.9833,19.7798:29.0027,19.7948:29.0667,19.8144:29.1246,19.8175:29.1452,19.8234:29.2898,19.8141:29.4575,19.8145:29.4964,19.8126:29.774,19.8831:29.8705,19.8173:30.2585,19.7163:30.3963,19.6064:30.4102,19.6091",https://www.gem.wiki/Defa-Brega_gas_pipeline,,
Libya Coastal Gas Pipeline,"National Oil Corporation, 100.00%",operating,Libya,Gas,,,"32.8538,12.2375:32.86,13.18:32.64,14.25:32.32,15.08:31.44,15.4:31.2,16.58:30.6352,18.3644:30.4723,18.551:30.22,19.03:30.4102,19.6091:30.8278,20.0484:31.19,20.26:32.1,20.09",https://www.gem.wiki/Libya_Coastal_Gas_Pipeline,"236,058.38",BOE/d
Wafa-Mellitah gas Pipeline,"National Oil Corporation, 50.00%, Eni S.p.A., 50.00%",operating,Libya,Gas,,,"28.8885,10.0235:28.9342,10.0214:29.5152,10.2986:29.7379,10.3106:29.881,10.4482:30.2409,10.5009:30.4144,10.457:30.8094,10.4849:30.9668,10.5228:31.413,10.6492:31.5677,10.7726:31.7472,10.9313:31.9329,11.0591:32.0172,11.1327:32.0685,11.2135:32.1708,11.4306:32.532,11.8116:32.6493,11.9406:32.7713,12.0253:32.8259,12.0672:32.8599,12.0866:32.9032,12.1023:32.9144,12.1141:32.8538,12.2375",https://www.gem.wiki/Wafa-Mellitah_gas_pipeline,"182,220.50",BOE/d
Amal-Ra's Lanuf Oil Pipeline,"National Oil Corporation, 88.00%, Suncor Energy, 12.00%",operating,Libya,Oil,,,"29.4846,21.1056:29.4845,21.0967:30.1895,19.1429:30.2487,18.9739:30.2745,18.9357:30.3305,18.7671:30.3865,18.6493:30.4723,18.551",https://www.gem.wiki/Amal-Ra's_Lanuf_oil_pipeline,"32,439.40",BOE/d
Aseida Gathering-Ra's Lanuf Oil Pipeline,"National Oil Corporation, 88.00%, Suncor Energy, 12.00%",operating,Libya,Oil,,,"29.6621,18.4968:29.6947,18.4984:29.7506,18.5058:29.8059,18.506:29.8237,18.5031:30.455,18.4997:30.5064,18.5444",https://www.gem.wiki/Aseida_Gathering-Ra's_Lanuf_oil_pipeline,"30,473.37",BOE/d
Bahi Gathering-Sidra Oil Pipeline,"National Oil Corporation, 59.18%, ConocoPhillips, 16.33%, Total S.A., 16.33%, Hess Corporation, 8.16%",operating,Libya,Oil,,,"30.0913,17.8747:30.1145,17.8771:30.1793,17.9284:30.2391,17.9997:30.2497,18.0205:30.2931,18.0808:30.6074,18.2866:30.628,18.332:30.6358,18.3594:30.6352,18.3644",https://www.gem.wiki/Bahi_Gathering-Sidra_oil_pipeline,"77,166.44",BOE/d
Dahra-Bahi Gathering Oil Pipeline,"National Oil Corporation, 59.18%, ConocoPhillips, 16.33%, Total S.A., 16.33%, Hess Corporation, 8.16%",operating,Libya,Oil,,,"29.4808,17.9324:29.5113,17.9297:29.9199,17.8451:29.9827,17.8669:30.0913,17.8747",https://www.gem.wiki/Dahra-Bahi_Gathering_oil_pipeline,"84,047.53",BOE/d
Dor Marada-Tibisti Oil Pipeline,"National Oil Corporation, 88.00%, Suncor Energy, 12.00%",operating,Libya,Oil,,,"29.2338,19.6975:29.2103,19.674:29.2105,19.6561:29.164,19.6535:29.1164,19.6251:29.0308,19.5431:28.9454,19.4771:28.8571,19.4044:28.8016,19.3547:28.6019,19.3177",https://www.gem.wiki/Dor_Marada-Tibisti_oil_pipeline,,
El Feel-El Sharara Oil Pipeline,"National Oil Corporation, 50.00%, Eni S.p.A., 50.00%",operating,Libya,Oil,,,"26.5946,12.3636:26.5799,12.1935:26.2538,11.9527:26.2241,11.9076:26.0806,11.9755:26.0351,11.9771",https://www.gem.wiki/El_Feel-El_Sharara_oil_pipeline,"40,057.74",BOE/d
El Sharara-Mellitah Oil Pipeline,"National Oil Corporation, 50.00%, Eni S.p.A., 50.00%",operating,Libya,Oil,,,"26.5946,12.3636:27.448,13.056:28.3521,12.6403:29.5081,12.9687:30.2985,12.5722:31.4311,12.2966:32.0081,12.3124:32.1006,12.3194:32.7129,12.185:32.8518,12.2361",https://www.gem.wiki/El_Sharara-Mellitah_oil_pipeline,"24,575.30",BOE/d
El Sharara-Zawiya Oil Pipeline,"National Oil Corporation, Repsol, OMV, Total S.A.",operating,Libya,Oil,,,"26.5946,12.3636:27.448,13.056:28.3521,12.6403:29.5081,12.9687:30.2985,12.5722:31.4311,12.2966:32.0081,12.3124:32.1424,12.3501:32.6171,12.6559:32.7873,12.6973",https://www.gem.wiki/El_Sharara-Zawiya_oil_pipeline,"340,000.00",BOE/d
Farigh-Gialo Oil Pipeline,"National Oil Corporation, 59.18%, ConocoPhillips, 16.33%, Total S.A., 16.33%, Hess Corporation, 8.16%",operating,Libya,Oil,,,"28.1656,21.2305:28.4712,21.3076:28.6657,21.3747:28.7071,21.3761",https://www.gem.wiki/Farigh-Gialo_oil_pipeline,"6,143.83",BOE/d
Gialo-Waha Oil Pipeline,"National Oil Corporation, 59.18%, ConocoPhillips, 16.33%, Total S.A., 16.33%, Hess Corporation, 8.16%",operating,Libya,Oil,,,"28.7071,21.3761:28.7023,21.3460:28.6036,21.0382:28.4782,20.738:28.283,20.0955:28.3426,19.9703:28.3319,19.9277:28.2983,19.9218",https://www.gem.wiki/Gialo-Waha_oil_pipeline,"48,904.85",BOE/d
Hamada al Hamra-Zawiya Oil Pipeline,"National Oil Corporation, 100.00%",operating,Libya,Oil,,,"29.5081,12.9687:30.2985,12.5722:31.4311,12.2966:32.0081,12.3124:32.1424,12.3501:32.6171,12.6559:32.7873,12.6973",https://www.gem.wiki/Hamada_al_Hamra-Zawiya_oil_pipeline,"11,058.89",BOE/d
Hofra-Aseida Gathering Oil Pipeline,"National Oil Corporation, 88.00%, Suncor Energy, 12.00%",operating,Libya,Oil,,,"29.373,18.0084:29.6621,18.4968",https://www.gem.wiki/Hofra-Aseida_Gathering_oil_pipeline,"18,431.48",BOE/d
Intisar-Zuwetina Oil Pipeline,"National Oil Corporation, 81.00%, Occidental Petroleum, 14.25%, OMV, 4.75%",operating,Libya,Oil,,,"29.0433,20.7795:30.5316,20.2281:30.6402,20.1705:30.8278,20.0484",https://www.gem.wiki/Intisar-Zuwetina_oil_pipeline,"122,384.99",BOE/d
Majid-Nafoora Oil Pipeline,"National Oil Corporation, 100.00%",operating,Libya,Oil,,,"28.3751,21.9436:29.0878,21.6218:29.204,21.5825:29.2344,21.5519",https://www.gem.wiki/Majid-Nafoora_oil_pipeline,"6,881.08",BOE/d
Messla-Amal Oil Pipeline,"National Oil Corporation, 100.00%",operating,Libya,Oil,,,"27.9879,22.3294:28.0322,22.3094:28.082,22.2721:28.1912,22.1603:29.1439,21.3668:29.4846,21.1056",https://www.gem.wiki/Messla-Amal_oil_pipeline,"58,243.46",BOE/d
Nafoora-Amal Oil Pipeline,"National Oil Corporation, 100.00%",operating,Libya,Oil,,,"29.2344,21.5519:29.4665,21.1249:29.4846,21.1056",https://www.gem.wiki/Nafoora-Amal_oil_pipeline,"39,811.99",BOE/d
Nasser-Brega Oil Pipeline,"National Oil Corporation, 100.00%",operating,Libya,Oil,,,"28.9162,19.7701:28.9384516,19.781:28.9833,19.7798:29.0027,19.7948:29.0667,19.8144:29.1246,19.8175:29.1452,19.8234:29.2898,19.8141:29.4575,19.8145:29.4964,19.8126:29.774,19.8831:29.8705,19.8173:30.2585,19.7163:30.3963,19.6064:30.4102,19.6091",https://www.gem.wiki/Nasser-Brega_oil_pipeline,"95,352.16",BOE/d
Raguba-Brega feeder Oil Pipeline,"National Oil Corporation, 100.00%",operating,Libya,Oil,,,"29.0765,19.0686:29.1904,19.3048:29.2692,19.3898:29.3296,19.4123:29.4575,19.8145",https://www.gem.wiki/Raguba-Brega_feeder_oil_pipeline,"18,431.48",BOE/d
Ramal-Abu-Attifel Oil Pipeline,"National Oil Corporation, 50.00%, Eni S.p.A., 50.00%",operating,Libya,Oil,,,"28.759,22.7877:28.8398,22.1158",https://www.gem.wiki/Ramal-Abu-Attifel_oil_pipeline,"6,389.58",BOE/d
Sabah-Zella Oil Pipeline,"National Oil Corporation, 81.00%, Occidental Petroleum, 14.25%, OMV, 4.75%",operating,Libya,Oil,,,"28.222,18.1174:28.2306,18.1065:28.2443,18.05:28.2505,17.8561:28.4223,17.6574:28.4882,17.5775:28.4954,17.5152:28.5751,17.3302",https://www.gem.wiki/Sabah-Zella_oil_pipeline,"4,915.06",BOE/d
Samah-Dahra Oil Pipeline,"National Oil Corporation, 59.18%, ConocoPhillips, 16.33%, Total S.A., 16.33%, Hess Corporation, 8.16%",operating,Libya,Oil,,,"28.1633,19.1682:28.8848,18.6121:29.2333,18.169:29.4476,17.9656:29.4782,17.9304:29.4805,17.9304",https://www.gem.wiki/Samah-Dahra_oil_pipeline,"77,657.95",BOE/d
Sarir-Tobruk Oil Pipeline,"National Oil Corporation, 100.00%",operating,Libya,Oil,,,"27.6468,22.4986:27.7642,22.4713:29.8693,23.2675:31.8098,23.956:31.9411,23.9377:32.0034,23.9732:32.0448,23.9768",https://www.gem.wiki/Sarir-Tobruk_oil_pipeline,"110,000.00",BOE/d
Tibisti-Aseida Gathering Oil Pipeline,"National Oil Corporation, 88.00%, Suncor Energy, 12.00%",operating,Libya,Oil,,,"28.6019,19.3177:28.6271,19.2047:28.6512,19.1817:28.6504,19.1666:29.1606,18.8077:29.2939,18.7007:29.3835,18.6528:29.412,18.6298:29.5293,18.5847:29.6128,18.5223:29.6621,18.4968",https://www.gem.wiki/Tibisti-Aseida_Gathering_oil_pipeline,,
Wafa-Mellitah Oil Pipeline,"National Oil Corporation, 50.00%, Eni S.p.A., 50.00%",operating,Libya,Oil,,,"28.8885,10.0235:28.9342,10.0214:29.5152,10.2986:29.7379,10.3106:29.881,10.4482:30.2409,10.5009:30.4144,10.457:30.8094,10.4849:30.9668,10.5228:31.413,10.6492:31.5677,10.7726:31.7472,10.9313:31.9329,11.0591:32.0172,11.1327:32.0685,11.2135:32.1708,11.4306:32.532,11.8116:32.6493,11.9406:32.7713,12.0253:32.8259,12.0672:32.8599,12.0866:32.9032,12.1023:32.9144,12.1141:32.8538,12.2375",https://www.gem.wiki/Wafa-Mellitah_oil_pipeline,"120,000.00",BOE/d
Waha-Samah Oil Pipeline,"National Oil Corporation, 59.18%, ConocoPhillips, 16.33%, Total S.A., 16.33%, Hess Corporation, 8.16%",operating,Libya,Oil,,,"28.2983,19.9218:28.1633,19.1682",https://www.gem.wiki/Waha-Samah_oil_pipeline,"36,862.95",BOE/d
Waha-Zaggut Oil Pipeline,"National Oil Corporation, 59.18%, ConocoPhillips, 16.33%, Total S.A., 16.33%, Hess Corporation, 8.16%",operating,Libya,Oil,,,"28.2983,19.9218:28.2952,19.9055:28.3174,19.872:28.4117,19.6015:28.4496,19.5184",https://www.gem.wiki/Waha-Zaggut_oil_pipeline,"60,700.99",BOE/d
Zaggut-Samah Oil Pipeline,"National Oil Corporation, 59.18%, ConocoPhillips, 16.33%, Total S.A., 16.33%, Hess Corporation, 8.16%",operating,Libya,Oil,,,"28.4496,19.5184:28.4311,19.5003:28.2724,19.302:28.2298,19.2501:28.1616,19.1779:28.1633,19.1682",https://www.gem.wiki/Zaggut-Samah_oil_pipeline,"33,913.91",BOE/d
Zaggut-Sidra Oil Pipeline,"National Oil Corporation, 59.18%, ConocoPhillips, 16.33%, Total S.A., 16.33%, Hess Corporation, 8.16%",operating,Libya,Oil,,,"28.4496,19.5184:29.5158,18.8978:29.773,18.775:30.2558,18.5013:30.5629,18.3129:30.6076,18.2875:30.628,18.332:30.6358,18.3594:30.6352,18.3644",https://www.gem.wiki/Zaggut-Sidra_oil_pipeline,"27,032.83",BOE/d
Zella-Hofra Oil Pipeline,"National Oil Corporation, 81.00%, Occidental Petroleum, 14.25%, OMV, 4.75%",operating,Libya,Oil,,,"28.5751,17.3302:28.7723,17.4943:28.8764,17.6079:28.8955,17.6149:28.9228,17.6068:29.1036,17.7809:29.1721,17.8676:29.2292,17.8816:29.3145,17.954:29.3525,18.008:29.373,18.0084",https://www.gem.wiki/Zella-Hofra_oil_pipeline,"9,092.86",BOE/d
Mellitah-Gábes Pipeline,,cancelled,"Libya, Tunisia",Gas,,,"33.67917454453751,10.16015520339233:33.12382718170904,11.36968954795432:32.75220050168888,12.57376119864669",https://www.gem.wiki/Mellitah-G%C3%A1bes_Pipeline,"33,357.47",BOE/d
Khoms-Melita Pipeline,,operating,Libya,Gas,,,"32.21030293,15.04123032:32.21720945,14.95581121:32.88312064,13.37044805:32.78685855,12.57453153",http://bit.ly/38ImzRx,,
Bahr Assalam–Mellitah Gas Pipeline,Mellitah Oil and Gas,operating,Libya,Gas,,,Unavailable,https://www.gem.wiki/Bahr_Assalam-Mellitah_gas_pipeline,"417,450.60",BOE/d
Intesar-Brega Gas Pipeline,Zueitina,operating,Libya,Gas,,,"28.925529,20.987025:29.063142,20.768509:29.259051,20.515029:29.482488,20.244069:29.52306,20.203279:29.604155,20.019725:29.669997,19.914837:29.776267,19.903183:29.819249,19.897355:30.197697,19.754591:30.265664,19.716715:30.341128,19.658444:30.408996,19.590704",https://www.gem.wiki/Intesar-Brega_gas_pipeline,"703,702.44",BOE/d
103D-103A Gas Pipeline,Zueitina,operating,Libya,Gas,,,Unavailable,https://www.gem.wiki/103D-103A_gas_pipeline,"295,528.52",BOE/d
Bu-Attifel-Intesar Gas Pipeline,Mellitah Oil and Gas,operating,Libya,Gas,,,"28.879617,22.067954:28.900025,21.560996:28.889821,21.193888:28.884719,21.129789",https://www.gem.wiki/Bu-Attifel-Intesar_gas_pipeline,"187,521.46",BOE/d
Bouri-Bahr Assalam Gas Pipeline,Mellitah Oil and Gas,operating,Libya,Gas,,,Unavailable,https://www.gem.wiki/Bouri-Bahr_Assalam_gas_pipeline,"64,274.14",BOE/d
Waha-Nasser Gas Pipeline,Waha Oil Company,operating,Libya,Gas,,,"28.301594, 19.922649:28.9162,19.7701",https://www.gem.wiki/Waha-Nasser_gas_pipeline,"93,760.73",BOE/d
Faregh-Intesar Gas Pipeline,Waha Oil Company,operating,Libya,Gas,,,"28.88727,21.122506:28.928079,20.994309",https://www.gem.wiki/Faregh-Intesar_gas_pipeline,"117,283.74",BOE/d
Brega-Benghazi Gas Pipeline,National Oil Corporation,operating,Libya,Gas,,,"30.4165,19.596797:30.407224,19.675676:30.419592,19.858532:30.455142,19.899765:30.533923,19.980437:30.587952,20.021669:30.729827,20.098755:30.8284,20.136402:30.88688,20.159707:31.059033,20.256514:31.148062,20.321051:31.174141,20.340771:31.198679,20.3336:31.232409,20.319258:31.643855,20.174049:31.75215,20.147158:31.840523,20.125646:32.077036,20.05573",https://www.gem.wiki/Brega-Benghazi_gas_pipeline,"178,244.78",BOE/d
Brega-Khoms Gas Pipeline,National Oil Corporation,operating,Libya,Gas,,,"30.417273,19.59859:30.34768,19.595004:30.298162,19.569906:30.234679,19.42649:30.220739,19.295622:30.220739,19.127108:30.237777,19.032094:30.29197,18.862235:30.346133,18.738538:30.423457,18.605878:30.511531,18.489352:30.610327,18.351313:30.672023,18.259885:30.746006,18.157701:30.855336,17.825602:30.867647,17.752101:30.944555,17.559384:31.006037,17.363979:31.019865,17.288686:31.038299,17.229526:31.092045,17.141684:31.125813,16.814066:31.124278,16.708296:31.113535,16.61149:31.1565,16.37306:31.216312,16.107739:31.219378,16.046339:31.360319,15.703035:31.375625,15.611607:31.413882,15.240517:31.562932,15.101582:31.756723,15.035252:31.90903,14.983263:32.073239,14.992227:32.238669,15.046008:32.279601,15.092618:32.326574,15.12668:32.343236,15.119509:32.352323,15.081862:32.390176,14.850603:32.394717,14.717942:32.518001,14.447243",https://www.gem.wiki/Brega-Khoms_gas_pipeline,"192,325.46",BOE/d
Khoms-Tripoli Gas Pipeline,National Oil Corporation,operating,Libya,Gas,,,"32.518001,14.447243:32.566361,14.346852:32.608654,14.343266:32.617714,14.289485:32.681111,14.103044:32.732399,13.923773:32.777628,13.755258:32.795714,13.662037:32.789686,13.568817:32.768584,13.489937:32.765569,13.4254",https://www.gem.wiki/Khoms-Tripoli_gas_pipeline,"282,441.78",BOE/d
Tripoli-Mellitah Gas Pipeline,National Oil Corporation,operating,Libya,Gas,,,"32.766323,13.424952:32.757278,13.163216:32.745216,12.93375:32.748232,12.849493:32.772353,12.763443:32.808522,12.357394:32.8763,12.205014",https://www.gem.wiki/Tripoli-Mellitah_gas_pipeline,"281,447.85",BOE/d
Nasser-Brega Gas Pipeline,National Oil Corporation,operating,Libya,Gas,,,"28.9162,19.7701:28.9384516,19.781:28.9833,19.7798:29.0027,19.7948:29.0667,19.8144:29.1246,19.8175:29.1452,19.8234:29.2898,19.8141:29.4575,19.8145:29.4964,19.8126:29.774,19.8831:29.8705,19.8173:30.2585,19.7163:30.3963,19.6064:30.4102,19.6091",https://www.gem.wiki/Nasser-Brega_gas_pipeline,"246,328.99",BOE/d
Attahaddy-km-91.5 Gas Pipeline,National Oil Corporation,operating,Libya,Gas,,,Unavailable,https://www.gem.wiki/Attahaddy-km-91.5_gas_pipeline,"469,134.96",BOE/d
Km-81.5-Brega Gas Pipeline,National Oil Corporation,operating,Libya,Gas,,,Unavailable,https://www.gem.wiki/Km-81.5-Brega_gas_pipeline,"140,806.75",BOE/d
Raguba-Km-110 Gas Pipeline,National Oil Corporation,operating,Libya,Gas,,,Unavailable,https://www.gem.wiki/Raguba-Km-110_gas_pipeline,"65,599.38",BOE/d
Intesar-Sahel Gas Pipeline,National Oil Corporation,operating,Libya,Gas,,,Unavailable,https://www.gem.wiki/Intesar-Sahel_gas_pipeline,"328,328.21",BOE/d
Sahel-km-81.5 Gas Pipeline,National Oil Corporation,operating,Libya,Gas,,,Unavailable,https://www.gem.wiki/Sahel-km-81.5_gas_pipeline,"323,689.87",BOE/d
Km-91.5-Brega Gas Pipeline,National Oil Corporation,operating,Libya,Gas,,,Unavailable,https://www.gem.wiki/Km-91.5-Brega_gas_pipeline,"351,851.22",BOE/d
Jakhira-Intesar Gas Pipeline,BASF,operating,Libya,Gas,,,Unavailable,https://www.gem.wiki/Jakhira-Intesar_gas_pipeline,"39,757.20",BOE/d
Amal-Ra's Lanuf 2 Oil Pipeline,"National Oil Corporation, 88.00%, Suncor Energy, 12.00%",operating,Libya,Oil,,,"29.4846,21.1056:29.4845,21.0967:30.1895,19.1429:30.2487,18.9739:30.2745,18.9357:30.3305,18.7671:30.3865,18.6493:30.4723,18.551",https://www.gem.wiki/Amal-Ra's_Lanuf_oil_pipeline,"58,489.21",BOE/d
Bahi Gathering-Sidra 2 Oil Pipeline,"National Oil Corporation, 59.18%, ConocoPhillips, 16.33%, Total S.A., 16.33%, Hess Corporation, 8.16%",operating,Libya,Oil,,,"30.0913,17.8747:30.1145,17.8771:30.1793,17.9284:30.2391,17.9997:30.2497,18.0205:30.2931,18.0808:30.6074,18.2866:30.628,18.332:30.6358,18.3594:30.6352,18.3644",https://www.gem.wiki/Bahi_Gathering-Sidra_2_oil_pipeline,"51,362.38",BOE/d
Lithuania-Latvia Interconnection Gas Pipeline,"The Ministry of Finance of the Republic of Lithuania, Gazprom, Marguerite Fund, Fortum, Rosneft",operating,"Lithuania, Latvia",Gas,,,"57.000717,24.416148:56.959561,24.564463:56.627140,24.092051:56.270419,24.125010",https://www.gem.wiki/Lithuania-Latvia_Interconnection_Gas_Pipeline,"38,100.65",BOE/d
Minsk-Vilnius Gas Transmission Pipeline,,operating,"Lithuania, Belarus",Gas,,,"53.903171,27.556281:54.687943,25.272124",http://bit.ly/38IBECL,,
Amber Grid Gas Transmission System,Gazprom,operating,Lithuania,Gas,,,"55.915837, 21.079140:55.705866, 21.381077:55.251577, 22.289893:55.077452, 22.741420:54.953390, 23.046634:54.553965, 23.358308;55.596993, 26.431319:54.846786, 25.472456:54.941873, 25.011802:55.043061, 24.955497:54.686355, 25.295470;54.686355, 25.295470:54.309123, 25.386139;55.043061, 24.955497:55.244360, 24.774201:55.733504, 24.366164:55.980913, 23.857481;55.980913, 23.857481:56.060239, 24.397152:56.201339, 24.755876;55.733504, 24.366164:55.809975, 23.548135:55.935436, 23.315317:55.997757, 22.936921:55.704874, 21.156511;55.997757, 22.936921:56.245598, 22.745934:56.317104, 22.903943;54.941873, 25.011802:54.773652, 24.812643:54.786780, 24.657129:54.857882, 24.429018:54.897397, 23.900476:54.953390, 23.046634;55.072467, 24.279857:54.857882, 24.429018:54.394617, 24.044330;55.389172, 24.762030:55.507588, 25.617721;56.201339, 24.755876:55.980913, 23.857481; 55.597, 26.433: 55.874, 26.5399",http://bit.ly/2GvjE2v,,
Lithuania-Latvia Interconnection Gas Pipeline Expansion,"Lietuvos Dujos AB, Latvijas Gāze ",proposed,"Lithuania, Latvia",Gas,,,"54.6676, 25.156: 54.9411, 25.008; 54.9411, 25.008: 55.0278, 24.973: 55.3051, 24.858: 55.3881, 24.8: 55.4692, 24.686: 55.5826, 24.62: 55.6893, 24.531: 55.785, 24.382: 55.7347, 24.357; 55.7851, 24.383: 55.8816, 24.257: 55.9555, 24.245: 56.1093, 24.311: 56.2772, 24.271: 56.3294, 24.27: 56.3925, 24.215: 56.5046, 24.177: 56.59, 24.2; 56.59, 24.2: 56.6374, 24.244: 56.6814, 24.356: 56.7606, 24.392: 56.8385, 24.396: 56.8724, 24.36: 56.8221, 24.294: 56.8491, 24.221: 56.9904, 24.179",https://www.gem.wiki/Lithuania-Latvia_Interconnection_Gas_Pipeline,"9,525.16",BOE/d
Klaipeda-Kursenai Gas Pipeline,AB Amber Grid,operating,Lithuania,Gas,,,"55.700000, 21.160638:55.998097, 22.938466",https://www.gem.wiki/Klaipeda-Kursenai_Gas_Pipeline,,
Multi-Products Oil Pipeline,"China National Petroleum Corporation, 100.00%",cancelled,Malaysia,Oil,,,"2.194491,102.249099:5.907889,102.277183",https://www.gem.wiki/Multi-Products_Oil_Pipeline,,
Peninsular Gas Utilization Pipeline,"Petronas, 100.00%",operating,Malaysia,Gas,,,"4.7438597,103.3921774:4.5084227,103.4264664:2.5079049,102.8203814:1.4791259,103.8956294:1.4324489,103.9621904;1.4791259,103.8956294:1.4128849,104.0921814;2.5079049,102.8203814:2.5822038,101.8179794:3.0211308,101.4251754:3.7330997,100.9565534:4.2658103,100.5845104:5.3441437,100.4186424:5.8183786,100.4603684",https://www.gem.wiki/Peninsular_Gas_Utilization_Project,"86,140.60",BOE/d
Sabah-Sarawak Gas Pipeline (SSGP),"Petronas, 100.00%",operating,Malaysia,Gas,,,"5.6295806,115.8834164:3.2157188,113.0763244",https://www.gem.wiki/Sabah%E2%80%93Sarawak_Gas_Pipeline,"127,554.35",BOE/d
Trans Sabah Gas Pipeline,"China National Petroleum Corporation, 100.00%",cancelled,Malaysia,Gas,,,"6.128291,116.146986:5.844168,118.099944:4.405025,117.918547",https://www.gem.wiki/Trans-Sabah_Gas_Pipeline,,
Trans Thailand–Malaysia Gas Pipeline (TTM),"Petronas, 100.00%",operating,"Malaysia, Thailand",Gas,,,"7.1212445,100.5710394:7.5734315,102.0733764",https://www.gem.wiki/Trans_Thailand%E2%80%93Malaysia_Gas_Pipeline,"127,554.35",BOE/d
Sabah-Sarawak Gas Pipeline (SSGP) Expansion,"Petronas, 100.00%",proposed,Malaysia,Gas,,,"5.6295806,115.8834164:3.2157188,113.0763244",https://www.gem.wiki/Sabah%E2%80%93Sarawak_Gas_Pipeline,"59,470.15",BOE/d
Malta-Italy Gas Pipeline,Government of Malta,proposed,"Malta, Italy",Gas,,,"35.813225,14.543441:35.802092,14.603866:36.445466,14.559921:36.945383,14.202865:37.063290,14.230397",https://www.gem.wiki/Malta-Italy_Gas_Pipeline,"33,627.97",BOE/d
Energia Mayakan Pipeline,Engie,operating,Mexico,Gas,,,"17.864057,-93.119845:17.833415,-92.448539:18.185449,-91.049762:18.996247,-90.725945:19.811586,-90.592755:20.927212,-89.687854:20.697918,-88.267005",https://www.gem.wiki/Energia_Mayakan_Pipeline,"43,097.50",BOE/d
Cantarell Field Oil Pipeline Network,"Pemex, 100.00%",operating,Mexico,Oil,,,"20.027262,-93.011795:23.021945,-93.205887",https://www.gem.wiki/Cantarell_Field_Oil_Pipeline_Network,"400,000.00",BOE/d
El Encino-La Laguna Gas Pipeline,"Fermaca, 100.00%",operating,Mexico,Gas,,,"28.444440,-105.927201:25.470703,-103.658696",https://www.gem.wiki/El_Encino-La_Laguna_Gas_Pipeline,"258,585.00",BOE/d
Jáltipan-Salina Cruz Gas Pipeline Expansion,"Cenegas, 100.00%",shelved,Mexico,Gas,,,Capacity expansion only,https://www.gem.wiki/J%C3%A1ltipan-Salina_Cruz_Gas_Pipeline,"20,686.80",BOE/d
Jáltipan-Salina Cruz Gas Pipeline,"Cenegas, 100.00%",operating,Mexico,Gas,,,"17.959743,-94.716482:16.184155,-95.201077",https://www.gem.wiki/J%C3%A1ltipan-Salina_Cruz_Gas_Pipeline,"15,515.10",BOE/d
Ku-Maloob-Zaap Oil Pipeline Network,"Pemex, 100.00%",operating,Mexico,Oil,,,"19.726047,-91.316113:18.650503,-91.807455",https://www.gem.wiki/Ku-Maloob-Zaap_Oil_Pipeline_Network,"800,000.00",BOE/d
La Laguna-Aguascalientes Natural Gas Pipeline,"Fermaca, 100.00%",operating,Mexico,Gas,,,"25.470703,-103.658696:24.032943,-104.638725:22.771298,-102.573540:21.880927,-102.292332",https://www.gem.wiki/La_Laguna-Aguascalientes_Natural_Gas_Pipeline,"227,382.41",BOE/d
Lakach Gas Pipeline,"Pemex, 100.00%",proposed,Mexico,Gas,,,"19.043212,-95.245906:18.713888,-95.599858",https://www.gem.wiki/Lakach_Gas_Pipeline,"86,195.00",BOE/d
Lazaro Cárdenas-Acapulco Gas Pipeline,Cenegas,cancelled,Mexico,Gas,,,"17.956588,-102.193983:16.848483,-99.825892",https://www.gem.wiki/Lazaro_C%C3%A1rdenas-Acapulco_Gas_Pipeline,"17,239.00",BOE/d
Naco-Hermosillo Gas Pipeline,"Cenegas, 100.00%",operating,Mexico,Gas,,,"31.326022,-109.946961:29.071767,-110.955349",https://www.gem.wiki/Naco-Hermosillo_Gas_Pipeline,"15,515.10",BOE/d
Nuevo Teapa-Venta de Carpio Oil Pipeline,"Pemex, 100.00%",operating,Mexico,Oil,,,"18.121231,-94.221529:19.619916,-99.008959",https://www.gem.wiki/Nuevo_Teapa-Venta_de_Carpio_Oil_Pipeline,"161,000.00",BOE/d
Ojinaga-El Encino Gas Pipeline,Comisión Federal de Electricidad,operating,Mexico,Gas,,,"29.545618,-104.407865:28.444424,-105.927149",https://www.gem.wiki/Ojinaga-El_Encino_Gas_Pipeline,"232,726.50",BOE/d
Palmillas-Taluca Gas Pipeline,"Fermaca, 100.00%",operating,Mexico,Gas,,,"20.333726,-99.940745:19.281455,-99.655939",https://www.gem.wiki/Palmillas-Toluca_Gas_Pipeline,"51,717.00",BOE/d
