project,owner,status,countries,type,lat,lng,route,url,capacity1,capacity_unit1
El Borma-Mesdar Oil Pipeline,"Sonatrach, 100.00%",operating,Algeria,Oil,,,"31.6455,9.1736:31.4983,7.9367:31.1905,6.7868",https://www.gem.wiki/El_Borma-Mesdar_Oil_Pipeline,"46,825.00",BOE/d
Haoudh El Hamra-Bejaia Oil Pipeline,"Sonatrach, 100.00%",operating,Algeria,Oil,,,"31.8835,5.9799:33.7974087,5.40527343:34.9579953,5.64697265:35.1378791,5.40527343:35.6735,4.5055:36.3118,4.3454:36.7368,5.0682",https://www.gem.wiki/Haoudh_El_Hamra-Bejaia_Oil_Pipeline,"352,000.00",BOE/d
Hassi Berkine-Haoudh el Hamra Oil Pipeline,"Sonatrach, 100.00%",operating,Algeria,Oil,,,"31.0112,8.168:31.0505,8.2046:31.1279,8.134:31.4983,7.9367:31.1905,6.7868:31.315,6.514:31.5091,6.2739:31.8835,5.9799",https://www.gem.wiki/Hassi_Berkine-Haoudh_el_Hamra_Oil_Pipeline,"46,543.00",BOE/d
In Amenas-Haoudh el Hamra Oil Pipeline,"Sonatrach, 100.00%",operating,Algeria,Oil,,,"28.0392,9.5464:28.701,8.928:28.7876,8.6004:28.986,8.4742:29.2108,7.9847:29.1862,7.4711:29.9321,6.9491:30.0326,6.841:30.2585,6.5947:30.9463,6.4239:30.9894,6.418:31.8835,5.9799",https://www.gem.wiki/In_Amenas-Haoudh_el_Hamra_Oil_Pipeline,"218,720.17",BOE/d
Mesdar-Haoudh el Hamra Oil Pipeline,"Sonatrach, 100.00%",operating,Algeria,Oil,,,"31.1905,6.7868:31.315,6.514:31.5091,6.2739:31.8835,5.9799",https://www.gem.wiki/Mesdar-Haoudh_el_Hamra_Oil_Pipeline,"224,761.44",BOE/d
In Amenas-Skhira Oil Pipeline,"Sonatrach, 100.00%",operating,"Algeria, Tunisia",Oil,,,"28.0392,9.5464:30.18,9.37:30.481,9.977:30.86,10.16:31.56,9.77:33.29,9.68:34.328,10.097:34.325,10.132",https://www.gem.wiki/In_Amenas-Skhira_Oil_Pipeline,"270,000.00",BOE/d
Trans-Mediterranean Gas Pipeline,"Sonatrach, Sotugat, Eni S.p.A.",operating,"Algeria, Croatia, Tunisia, Italy",Gas,,,"32.9362513,3.2518234:34.9412752,5.1084695:34.8343512,7.9273285:35.4094512,8.0865875:35.6687032,10.0585905:36.3795242,10.4787745:37.7991721,12.4452845:37.0795232,14.2332665:38.1901401,15.5246615:38.9203951,16.5847995:40.7758341,14.7500395:41.9058251,12.4923065:44.6268421,11.4749585:45.4073242,11.8511975:45.6612802,12.2329295:46.1162731,13.8752995",https://www.gem.wiki/Trans-Mediterranean_Gas_Pipeline,"554,944.25",BOE/d
El Aricha-Beni Saf Gas Pipeline,Sonatrach,construction,Algeria,Gas,,,"34.1767641,-1.2900539:35.2861743,-1.466983",https://www.gem.wiki/El_Aricha-Beni_Saf_Gas_Pipeline,"74,544.75",BOE/d
In Amenas-Alergian-Tunisian Border Oil Pipeline,Sonatrach,operating,Algeria,Oil,,,"28.050,9.563:30.234,9.329:30.539,9.948:31.035,10.168:31.465,10.131:31.847,9.754:33.049,9.783:33.568,9.679:34.432,10.067:34.235,10.133",https://www.gem.wiki/In_Amenas-Algerian-Tunisian_border_oil_pipeline,"218,720.17",BOE/d
Sougueur-Hadjret En Nouss Gas Pipeline,Sonatrach,operating,Algeria,Gas,,,"35.190,1.505:35.380,2.387:35.693,2.810:36.470,2.554:36.565,2.241:36.515,2.106:36.573,2.057",https://www.gem.wiki/Sougueur%E2%80%93Hadjret_En_Nouss_gas_pipeline,,
Hassi R'Mel-Skikda-El Kala Gas Pipeline,Sonatrach,operating,Algeria,Gas,,,"32.9361073,3.2516514:36.8739242,6.8927595:36.8882698,8.4205565",https://www.gem.wiki/Hassi_R%27Mel-Skikda-El_Kala_gas_pipeline,,
Mocta Douz-Beni Saf Gas Pipeline,Sonatrach,operating,Algeria,Gas,,,"35.6148,-0.0411:35.3033015,-1.3902997",https://www.gem.wiki/Mocta_Douz-Beni_Saf_gas_pipeline,,
Sougueur-Arzew Gas Pipeline,Sonatrach,operating,Algeria,Gas,,,"35.1839342,1.4968627:35.3447,1.3004:35.727,0.7192:35.6148,-0.0411:35.8093,-0.2617",https://www.gem.wiki/Sougueur-Arzew_gas_pipeline,,
Bir Rebaa Nord–Menzel Ledjmet Est Gas Pipeline,Sonatrach,operating,Algeria,Gas,,,"31.2312522,8.5690428:30.1862002,7.6920558",https://www.gem.wiki/Bir_Rebaa_Nord%E2%80%93Menzel_Ledjmet_Est_Gas_Pipeline,"41,413.75",BOE/d
GR-5 Gas Pipeline,Sonatrach,operating,Algeria,Gas,,,"27.166030,0.765564:28.511334,0.862661:29.090823,2.215693:30.4219,2.9551:31.0414,3.0778:31.4653,3.0446:31.8042,2.9625:32.6619,3.1114:32.9361,3.2516",https://www.gem.wiki/GR-5_Gas_Pipeline,"145,776.40",BOE/d
GR-7 Gas Pipeline,Sonatrach,operating,Algeria,Gas,,,"30.8570627,0.4929102:30.7727772,1.8558497:30.4219,2.9551:31.0414,3.0778:31.4653,3.0446:31.8042,2.9625:32.6619,3.1114:32.9361,3.2516",https://www.gem.wiki/GR-7_Gas_Pipeline,"66,262.00",BOE/d
