project,project_other,parent,owner,ownership,province,country,region,status,steel_capacity,iron_capacity,process,equipment,url,lat,lng
GHC Emirates Steel Industries plant,حديد الإمارات (Arabic),General Holding Company (GHC),Emirates Steel Industries Co. PJS,state-owned,Abu Dhabi,United Arab Emirates,Western Asia,operating,3100,1900,integrated_DRI,"DRI, EAF",https://www.gem.wiki/GHC_Emirates_Steel_Industries_plant,24.322033,54.467987
ArcelMittal Acindar steel plant,Planta siderúrgica Acindar (Spanish),ArcelorMittal,Acindar Industria Argentina de Aceros SA (Acindar Grupo ArcelorMittal),private,Santa Fe,Argentina,Latin America and the Caribbean,operating,1750,1000,integrated_DRI,"DRI, EAF",https://www.gem.wiki/ArcelorMittal_Acindar_steel_plant,-33.249936,-60.300415
TenarisSiderca Seamless Tubes Mill steel plant,Planta siderúrgica TenarisSiderca (Spanish),Techint Group,Siderca S.A.I.C.,private,Buenos Aires,Argentina,Latin America and the Caribbean,operating,1250,1000,integrated_DRI,"DRI, EAF",https://www.gem.wiki/TenarisSiderca_Seamless_Tubes_Mill_steel_plant,-34.152554,-58.977388
Ternium Siderar steel plant,Planta siderúrgica Ternium Siderar (Spanish),"Techint Group (Ternium S.A.) 60.93%, Administración Nacional de la Seguridad Social de Argentina 26.03%, public shareholders 11.95%, others 1.09%",Ternium Argentina S.A.,private,Buenos Aires,Argentina,Latin America and the Caribbean,operating,3200,3200,integrated_BF,"BF, BOF",https://www.gem.wiki/Ternium_Siderar_steel_plant,-33.37365,-60.138697
Voestalpine Stahl Linz steel plant,,Voestalpine Group,Voestalpine Stahl GmbH,private,Upper Austria,Austria,Western Europe,operating,6000,6000,integrated_BF_and_DRI,"BF, BOF",https://www.gem.wiki/Voestalpine_Stahl_Linz_steel_plant,48.274023,14.33434
Voestalpine Stahl Donawitz steel plant,,Voestalpine Group,Voestalpine Stahl Donawitz Gmbh,private,Styria,Austria,Western Europe,operating,1500,1500,integrated_BF,"BF, BOF",https://www.gem.wiki/Voestalpine_Stahl_Donawitz_steel_plant,47.380455,15.065182
BlueScope Port Kembla steel plant,,BlueScope Steel Ltd,BlueScope Steel Ltd,private,New South Wales,Australia,Australia and New Zealand,operating,2600,3000,integrated_BF,"BF, BOF",https://www.gem.wiki/BlueScope_Port_Kembla_steel_plant,-34.463834,150.886191
GFG Liberty Steel Australia Whyalla steel plant,,GFG Alliance,Liberty Steel,private,South Australia,Australia,Australia and New Zealand,operating,4100,1200,integrated_BF,"BF, EAF",https://www.gem.wiki/GFG_Liberty_Steel_Australia_Whyalla_steel_plant,-33.009381,137.587836
ArcelorMittal Zenica steel plant,,ArcelorMittal,ArcelorMittal Zenica,private,Zenica-Doboj,Bosnia and Herzegovina,Southern Europe,operating,1000,1000,integrated_BF,"BF, BOF, EAF",https://www.gem.wiki/ArcelorMittal_Zenica_steel_plant,44.224446,17.899815
ArcelorMittal Ghent steel plant,,ArcelorMittal,ArcelorMittal Ghent,private,Flemish,Belgium,Western Europe,operating,5500,4900,integrated_BF,"BF, BOF",https://www.gem.wiki/ArcelorMittal_Ghent_steel_plant,51.169929,3.804462
HSBC Aperam Genk steel plant,,"HSBC Trust Ltd. 40.89%, M&G plc 6.96%, Treasury Shares 0.13%, Other 52.02%",Aperam S.A.,private,Limburg,Belgium,Western Europe,operating,1000,N/A,electric,EAF,https://www.gem.wiki/HSBC_Aperam_Genk_steel_plant,50.933973,5.511494
HSBC Aperam Stainless Belgium steel plant,,"HSBC Trust Ltd. 40.89%, M&G plc 6.96%, Treasury Shares 0.13%, Other 52.02%",Aperam S.A.,private,Hainaut,Belgium,Western Europe,operating,1000,N/A,electric,EAF,https://www.gem.wiki/HSBC_Aperam_Stainless_Belgium_steel_plant,50.414998,4.532443
Sidenor Stomana Industry steel plant,,Sidenor S.A.,Stomana Industry S.A.,private,Pernik,Bulgaria,Eastern Europe,operating,1400,N/A,electric,EAF,https://www.gem.wiki/Sidenor_Stomana_Industry_steel_plant,42.595629,23.093095
Gerdau Açominas steel plant,Usina siderúrgica Gerdau Açominas (Portuguese),Gerdau S.A.,Gerdau Açominas S.A.,private,Minas Gerais,Brazil,Latin America and the Caribbean,operating,7600,7600,integrated_BF,"BF, BOF",https://www.gem.wiki/Gerdau_A%C3%A7ominas_steel_plant,-20.543507,-43.75295
ArcelorMittal Tubarão steel plant,Usina Siderúrgica de Tubarão (Portuguese),ArcelorMittal,ArcelorMittal Tubarão,private,Espirito Santa,Brazil,Latin America and the Caribbean,operating,7500,7500,integrated_BF,"BF, BOF",https://www.gem.wiki/ArcelorMittal_Tubar%C3%A3o_steel_plant,-20.253447,-40.242298
ArcelorMittal Monlevade steel plant,"ArcelorMittal Aços Longos (Portuguese), Companhia Siderúrgica Belgo-Mineira (Portuguese, predecessor)",ArcelorMittal,ArcelorMittal Aços Longos,private,Minas Gerais,Brazil,Latin America and the Caribbean,operating,3500,1040,integrated_BF,"BF, BOF",https://www.gem.wiki/ArcelorMittal_Monlevade_steel_plant,-19.832129,-43.130164
ArcelorMittal Resende steel plant,Usina Siderúrgica ArcelorMittal Resende (Portuguese),ArcelorMittal,ArcelorMittal Aços Longos,private,Rio de Janeiro,Brazil,Latin America and the Caribbean,operating,1000,N/A,electric,EAF,https://www.gem.wiki/ArcelorMittal_Resende_steel_plant,-22.493597,-44.512628
Usiminas Cubatão steel plant,Usina Usiminas Cubatão (Portuguese),"Techint Group (Ternium/Tenaris) 39.57%, Nippon Group 32.40%, Usiminas Pension Fund 4.84%, Others 23.19%",Usiminas (Usinas Siderúrgicas de Minas Gerais S.A.),private,Sao Paulo,Brazil,Latin America and the Caribbean,mothballed,4000,4000,integrated_BF,"BF, BOF",https://www.gem.wiki/Usiminas_Cubat%C3%A3o_steel_plant,-23.863092,-46.376294
Ternium Brasil steel plant,Usina Siderúrgica Ternium (Portuguese),"San Faustin, S.A. 73.48%, others 26.52%",Ternium Brasil,private,Rio de Janeiro,Brazil,Latin America and the Caribbean,operating,5000,5300,integrated_BF,"BF, BOF",https://www.gem.wiki/Ternium_Brasil_steel_plant,-22.912549,-43.741614
Presidente Vargas Steelworks,Usina Siderúrgica Presidente Vargas (Portuguese),"Vicunha Aços S.A. 48.97%, NYSE 20.48%, Rio Iaco Participaçoes S.A. 4.19%, Treasury shares 0.53%, Other shareholders 25.82%",Companhia Siderurgica Nacional (CSN),private,Rio de Janeiro,Brazil,Latin America and the Caribbean,operating,5800,4672,integrated_BF,"BF, BOF, EAF",https://www.gem.wiki/Presidente_Vargas_Steelworks,-22.512631,-44.11287
CSP steel plant,Companhia Siderúrgica do Pecém (Portuguese),"Vale 50%, Dongkuk 30%, Posco 20%",Companhia Siderúrgica do Pecém (CSP),private,Ceará,Brazil,Latin America and the Caribbean,operating,3000,3000,integrated_BF,"BF, BOF",https://www.gem.wiki/CSP_steel_plant,-3.585917,-38.858932
ArcelorMittal Piracicaba steel plant,Usina Siderúrgica ArcelorMittal Piracicaba (Portuguese),ArcelorMittal,ArcelorMittal Brasil S.A.,private,Sao Paulo,Brazil,Latin America and the Caribbean,operating,1100,N/A,electric,EAF,https://www.gem.wiki/ArcelorMittal_Piracicaba_steel_plant,-22.698154,-47.657146
Gerdau Cosigua steel plant,Usina Siderúrgica Gerdau Cosigua (Portuguese),Metalurgica Gerdau S.A.,Gerdau S.A.,private,Rio de Janeiro,Brazil,Latin America and the Caribbean,operating,1200,unknown,electric,EAF,https://www.gem.wiki/w/index.php?title=Gerdau_Cosigua_steel_plant,-22.90242,-43.749319
Usiminas Ipatinga steel plant,Usina Siderúrgica Usiminas Ipatinga (Portuguese),"Techint Group (Ternium/Tenaris) 39.57%, Nippon Group 32.40%, Usiminas Pension Fund 4.84%, Others 23.19%",Usinas Siderúrgicas de Minas Gerais S.A. (USIMINAS),private,Minas Gerais,Brazil,Latin America and the Caribbean,operating,3500,3650,integrated_BF,"BF, BOF",https://www.gem.wiki/Usiminas_Ipatinga_steel_plant,-19.491277,-42.544253
Vallourec Jeceaba steel plant,Usina Siderúrgica de Jeceaba (Portuguese),"Vallourec 85%, NSSMC (Nippon Steel & Sumitomo Metal Corporation) 15%",Vallourec Soluções Tubulares do Brasil,private,Minas Gerais,Brazil,Latin America and the Caribbean,operating,1000,300,integrated_BF,"BF, EAF",https://www.gem.wiki/Vallourec_Jeceaba_steel_plant,-20.582683,-43.971555
ArcelorMittal Juiz de Fora steel plant,Usina siderúrgica ArcelorMittal Juiz de Fora (Portuguese),ArcelorMittal,ArcelorMittal Brasil S.A.,private,Minas Gerais,Brazil,Latin America and the Caribbean,operating,2000,360,integrated_BF,"BF, EAF",https://www.gem.wiki/ArcelorMittal_Juiz_de_Fora_steel_plant,-21.626963,-43.462361
Byelorussian Steel Works,"ОАО Белорусский металлургический завод (Russian), БМЗ (Russian)",Byelorussian Metallurgical Company (BMC Holding),OJSC Byelorussian Steel Works,state-owned,Gomel Region,Belarus,Eastern Europe,operating,3000,N/A,electric,EAF,https://www.gem.wiki/Byelorussian_Steel_Works,52.849321,29.988985
ArcelorMittal Contrecoeur steel plant,,ArcelorMittal,ArcelorMittal Long Products Canada,private,Quebec,Canada,Northern America,operating,2500,1000,integrated_DRI,"DRI, EAF",https://www.gem.wiki/ArcelorMittal_Contrecoeur_steel_plant,45.835148,-73.254957
ArcelorMittal Dofasco steel plant,,ArcelorMittal,ArcelorMittal Dofasco,private,Ontario,Canada,Northern America,operating,4700,2387,integrated_BF,"BF, BOF, EAF",https://www.gem.wiki/ArcelorMittal_Dofasco_steel_plant,43.269255,-79.804858
Tenaris Algoma Tubes steel plant,,Techint Group (Ternium/Tenaris),Algoma Steel Inc.,private,Ontario,Canada,Northern America,operating,2900,1979,integrated_BF,"BF, BOF",https://www.gem.wiki/Tenaris_Algoma_Tubes_steel_plant,46.518984,-84.374068
Evraz Regina Steel plant,,"Evraz (Roman Abramovich 28.77%, Alexander Abramov 19.41%, Alexander Frolov 9.69%, Gennady Kozovoy 5.77%, Other 33.56%)",Evraz,private,Saskatchewan,Canada,Northern America,operating,1500,N/A,electric,EAF,https://www.gem.wiki/Evraz_Regina_Steel_plant,50.51499,-104.630589
Stelco Lake Erie steel plant,,"Bedrock 46.4%, other 53.6%",Stelco Holdings,private,Ontario,Canada,Northern America,operating,2400,2400,integrated_BF,"BF, BOF",https://www.gem.wiki/Stelco_Lake_Erie_steel_plant,42.805448,-80.095313
CAP Acero steel plant,Planta Siderúrgica Huachipato (Spanish),CAP S.A.,Compañía Siderúrgica Huachipato S.A.,private,Concepción,Chile,Latin America and the Caribbean,operating,1500,1200,integrated_BF,"BF, BOF",https://www.gem.wiki/CAP_Acero_steel_plant,-36.746421,-73.129171
"Wuhu Xinxing Ductile Iron Pipes Co., Ltd.",芜湖新兴铸管有限责任公司,"Xinxing Cathay International Group Co., Ltd. 39.96%, other shareholders 60.04%","Xinxing Ductile Iron Pipes Co., Ltd. 100%",mixture,Anhui,China,Eastern Asia,operating,3000,1988.24,integrated_BF,"BF, BOF, EAF","https://www.gem.wiki/Wuhu_Xinxing_Ductile_Iron_Pipes_Co.,_Ltd._steel_plant",31.229893,118.150867
"Ma'anshan Iron & Steel Co., Ltd.",马鞍山钢铁股份有限公司,"China Baowu Steel Group Corp., Ltd. 23.23%, Anhui Province State-owned Assets Management Commission 22.31%, H-shares 22.3%, other A-shares 32.16%","Magang (Group) Holding Co., Ltd. 45.54%, other A-shares 32.16%, H-shares 22.3%",mixture,Anhui,China,Eastern Asia,operating,20465,14040,integrated_BF,"BF, BOF, EAF","https://www.gem.wiki/Ma%27anshan_Iron_%26_Steel_Co.,_Ltd._plant",31.698884,118.468194
"Anhui Changjiang Steel Co., Ltd.",安徽长江钢铁股份有限公司,"China Baowu Steel Group Corp., Ltd. 12.7765%, Anhui Province State-owned Assets Management Commission 12.2705%, Other 74.953%","Ma'anshan Iron & Steel Company, Ltd. 55%, individual corporate shareholders 45%",mixture,Anhui,China,Eastern Asia,operating,5100,2774.44,integrated_BF,"BF, BOF","https://www.gem.wiki/Anhui_Changjiang_Steel_Co.,_Ltd._plant",31.502272,118.465162
"Anhui Guihang Special Steel Co., Ltd.",安徽省贵航特钢有限公司,"Anhui Guihang Special Steel Co., Ltd. 100%: Lin Muping 52.04%, Lin Xianjian 32.03%, Lin Yuyun 15.94%","Anhui Guihang Special Steel Co., Ltd. 100%: Lin Muping 52.04%, Lin Xianjian 32.03%, Lin Yuyun 15.94%",private,Anhui,China,Eastern Asia,operating,3000,1606.64,integrated_BF,"BF, BOF","https://www.gem.wiki/Anhui_Guihang_Special_Steel_Co.,_Ltd._plant",30.531068,117.251147
"Tongling Fuxin Iron and Steel Co., Ltd.",铜陵市富鑫钢铁有限公司,"Tongling Fuxin Iron and Steel Co., Ltd. 100%: Wang Wenhua 19.05%, Li Yuxiang 18.58%, Liu Yishou 13.22%, other corporate shareholders 49.15%","Tongling Fuxin Iron and Steel Co., Ltd. 100%: Wang Wenhua 19.05%, Li Yuxiang 18.58%, Liu Yishou 13.22%, other corporate shareholders 49.15%",private,Anhui,China,Eastern Asia,operating,1260,1200,integrated_BF,"BF, BOF","https://www.gem.wiki/Tongling_Fuxin_Iron_and_Steel_Co.,_Ltd._plant",30.907561,117.772866
"Wuhu Fuxin Iron and Steel Co., Ltd.",芜湖市富鑫钢铁有限公司,"Wuhu Fuxin Iron and Steel Co., Ltd. 100%: Wang Wenqi 31.73%, Wang Wenhua 31.67%, other shareholders 36.6%","Wuhu Fuxin Iron and Steel Co., Ltd. 100%: Wang Wenqi 31.73%, Wang Wenhua 31.67%, other shareholders 36.6%",private,Anhui,China,Eastern Asia,operating,2000,938.84,integrated_BF,"BF, BOF","https://www.gem.wiki/Wuhu_Fuxin_Iron_and_Steel_Co.,_Ltd._plant",31.194505,118.067833
"Chongqing Iron & Steel Co., Ltd.",重庆钢铁股份有限公司,"China Baowu Iron and Steel Group Co., Ltd. 9.4%, Sichuan Desheng Group Vanadium and Titanium Co., Ltd. 7.99%, Hong Kong Securities Clearing (Agent) Co., Ltd. 5.96%, Chongqing Rural Commercial Bank Co., Ltd. 4.79%, Chongqing Qianxin Group Co., Ltd. 4.79%, Chongqing Guochuang Investment Management Co., Ltd. 3.12%, Sinosteel Equipment Co., Ltd. 2.83%, Bank of Chongqing Co., Ltd. 2.53%, Industrial Bank Co., Ltd. Chongqing Branch 2.46%, Agricultural Bank of China Co., Ltd. Chongqing Branch 2.43%, China Shipbuilding Industry Complete Logistics Co., Ltd. 2.37%, other A-shares 51.33%","Chongqing Changshou Iron and Steel Co., Ltd. 23.51%, HKSCC NOMINEES LIMITED 5.96%, Chongqing Qianxin Energy Environmental Protection Co., Ltd. 4.79%, Chongqing Rural Commercial Bank Co., Ltd. 3.24%, Chongqing Guochuang Investment Management Co., Ltd. 3.12%, Sinosteel Equipment Co., Ltd. 2.83%, Chongqing Bank Co., Ltd. 2.53%, Industrial Bank Co., Ltd. Chongqing Branch 2.46%, Agricultural Bank of China Co., Ltd. Chongqing Branch 2.43%, China Shipbuilding Industry Complete Logistics Co., Ltd. 2.37%, other A-shares 46.76%",mixture,Chongqing,China,Eastern Asia,operating,8300,7916.5,integrated_BF,"BF, BOF","https://www.gem.wiki/Chongqing_Iron_%26_Steel_Co.,_Ltd._plant",29.790253,107.040368
"Sichuan Desheng Group Vanadium and Titanium Co., Ltd.",四川德胜集团钒钛有限公司,"Haojun Development Group Co., Ltd. 49%, Song De'an (individual) 40.83%, Dai Lingying (individual) 10.17%","Yunnan Desheng Steel Co.,Ltd. 47.3%, Song De’an (individual) 26.84%, Leshan Zhonglianya Industry Co., Ltd. 25.79%",private,Chongqing,China,Eastern Asia,operating,4000,1150,integrated_BF,"BF, BOF","https://www.gem.wiki/Sichuan_Desheng_Group_Vanadium_and_Titanium_Co.,_Ltd._plant",29.39798,103.542532
"Fujian Sangang (Group) Co., Ltd.",福建省三钢（集团）有限公司,"Fujian Metallurgical Holding Co., Ltd. 94.49%, Fujian San'an Group Co., Ltd. 4.51%, Fujian Anxi Rongde Mining Industry Co., Ltd. 0.99%","Fujian Metallurgical Holding Co., Ltd. 94.49%, Fujian San'an Group Co., Ltd. 4.51%, Fujian Anxi Rongde Mining Industry Co., Ltd. 0.99%",mixture,Fujian,China,Eastern Asia,operating,12000,10468,integrated_BF,"BF, BOF","https://www.gem.wiki/Fujian_Sangang_(Group)_Co.,_Ltd._steel_plant",26.261109,117.614709
"Fujian Quanzhou Minguang Iron and Steel Co., Ltd.",福建泉州闽光钢铁有限责任公司,"Fujian Sangang (Group) Co., Ltd. 54.18%, Fujian Sanan Group Co., Ltd. 2.01%, others shareholders 43.81%","Fujian Sangang Minguang Co., Ltd. 100%",mixture,Fujian,China,Eastern Asia,operating,2550,1560.9,integrated_BF,"BF, BOF","https://www.gem.wiki/Fujian_Quanzhou_Minguang_Iron_and_Steel_Co.,_Ltd._plant",25.244396,118.029905
"Fujian Sanbao Iron and Steel Co., Ltd.",福建三宝钢铁有限公司,"Sanbao Group Holdings Co., Ltd. 100%: Wang Guangwen 81.73%, Su Jingfa 14.41%, Wang Chenzuo 3.86%","Sanbao Group Holdings Co., Ltd. 100%: Wang Guangwen 81.73%, Su Jingfa 14.41%, Wang Chenzuo 3.86%",private,Fujian,China,Eastern Asia,operating,4620,2198.12,integrated_BF,"BF, BOF","https://www.gem.wiki/Fujian_Sanbao_Iron_and_Steel_Co.,_Ltd._plant",24.635769,117.603677
"Fujian Yixin Steel Co., Ltd.",福建亿鑫钢铁有限公司,"Liu Chuangui (individual) 26.5169%, Thailand Huihua Industrial Co., Ltd. 20.69%, Fujian Sangang Xiaojiao Industrial Development Co., Ltd. 17.68%, other individual shareholders 36.1131%","Liu Chuangui (individual) 26.5169%, Thailand Huihua Industrial Co., Ltd. 20.69%, Fujian Sangang Xiaojiao Industrial Development Co., Ltd. 17.68%, other individual shareholders 36.1131%",private,Fujian,China,Eastern Asia,operating,1500,1400,integrated_BF,"BF, BOF","https://www.gem.wiki/Fujian_Yixin_Steel_Co.,_Ltd._plant",26.491308,119.63624
"Fujian Luoyuan Minguang Iron and Steel Co., Ltd.",福建罗源闽光钢铁有限公司,"Fujian Sangang (Group) Co., Ltd. 54.18%, Fujian San'an Group Co., Ltd. 2.01%, other A-shares 43.81%","Fujian Sangang Minguang Co., Ltd. 100%",mixture,Fujian,China,Eastern Asia,operating,1800,1600,integrated_BF,"BF, BOF","https://www.gem.wiki/Fujian_Luoyuan_Minguang_Iron_and_Steel_Co.,_Ltd._plant",26.486306,119.656144
"Fujian Tsingtuo Nickel Industry Co., Ltd.",福建青拓镍业有限公司,"Tsingtuo Group Co., Ltd. 41.98%, Ruipu Technology Group Co., Ltd. 37.02%, Shanghai Jingmao Investment Co., Ltd. 20%, Xu Yongkun (individual) 1%","Tsingtuo Group Co., Ltd. 41.98%, Ruipu Technology Group Co., Ltd. 37.02%, Shanghai Jingmao Investment Co., Ltd. 20%, Xu Yongkun (individual) 1%",private,Fujian,China,Eastern Asia,operating,3000,1080,integrated_BF,"BF, EAF","https://www.gem.wiki/Fujian_Tsingtuo_Nickel_Industry_Co.,_Ltd._plant",26.768925,119.765203
"Jiuquan Steel (Group) Co., Ltd.",酒泉钢铁（集团）有限责任公司,"Gansu Provincial People's Government State-owned Assets Supervision and Administration Commission 68.42%, Gansu State-owned Assets Investment Group Co., Ltd. 31.58%","Jiuquan Steel (Group) Co., Ltd. 100%",state-owned,Gansu,China,Eastern Asia,operating,6500,6000,integrated_BF,"BF, BOF, EAF","https://www.gem.wiki/Jiuquan_Steel_(Group)_Co.,_Ltd._Jiayuguan_headquarters_plant",39.812121,98.295555
"Jiugang Group Yuzhong Iron & Steel Co., Ltd.",酒钢集团榆中钢铁有限责任公司,"Gansu Provincial People's Government State-owned Assets Supervision and Administration Commission 37.49%, Gansu State-owned Assets Investment Group Co., Ltd. 17.3%, other A-shares 55.21%","Gansu Jiugang Group Hongxing Iron & Steel Co., Ltd. 100%",mixture,Gansu,China,Eastern Asia,operating,4000,3600,integrated_BF,"BF, BOF","https://www.gem.wiki/Jiugang_Group_Yuzhong_Iron_%26_Steel_Co.,_Ltd._plant",36.033646,104.035535
"Baosteel Group Guangdong Shaoguan Iron and Steel Co., Ltd.",宝武集团广东韶关钢铁有限公司,"China Baowu Steel Group Corp., Ltd. 51%, Guangdong Hengjian Investment Holding Co., Ltd. 49%","China Baowu Steel Group Corp., Ltd. 51%, Guangdong Hengjian Investment Holding Co., Ltd. 49%",state-owned,Guangdong,China,Eastern Asia,operating,6600,6390,integrated_BF,"BF, BOF","https://www.gem.wiki/Baosteel_Group_Guangdong_Shaoguan_Iron_and_Steel_Co.,_Ltd._plant",24.708232,113.635898
"Baosteel Zhanjiang Iron & Steel Co., Ltd.",宝钢湛江钢铁有限公司,"China Baowu Steel Group Corp., Ltd. 43.7%, Wugang Group Co. Ltd. 12.05%, Guangdong Hengjian Investment Holding Co., Ltd. 10%, other shareholders 34.25%","Baoshan Iron & Steel Co., Ltd. 90%, Guangdong Hengjian Investment Holding Co., Ltd. 10%",mixture,Guangdong,China,Eastern Asia,operating,12528,12250,integrated_BF,"BF, BOF","https://www.gem.wiki/Baosteel_Zhanjiang_Iron_%26_Steel_Co.,_Ltd._plant",21.056442,110.498231
"Zhuhai Yueyufeng Iron & Steel Co., Ltd.",珠海粤裕丰钢铁有限公司,"Xuan Gang International Trading (HK) Co., Ltd. 41.54%, Golden Bell Enterprises Ltd. 41.54%, Win Dragon Industrial Ltd. 16.91%","Xuan Gang International Trading (HK) Co., Ltd. 41.54%, Golden Bell Enterprises Ltd. 41.54%, Win Dragon Industrial Ltd. 16.91%",private,Guangdong,China,Eastern Asia,operating,3500,809.2,integrated_BF,"BF, BOF","https://www.gem.wiki/Zhuhai_Yueyufeng_Iron_%26_Steel_Co.,_Ltd._plant",21.96092,113.198718
"Guangdong Guangqing Metal Technology Co., Ltd.",广东广青金属科技有限公司,"Guangdong People's Government 48.86%, other shareholders 51.14%","Guangdong Guangxin Suntec Investment Co., Ltd. 25.54%, Guangdong Jeray Technology Group Co., Ltd. 23.33%, Guangdong Guangxin Holdings Group Ltd. 23.32%, Tsingtuo Group Co., Ltd. 22.96%, other shareholders 4.85%",mixture,Guangdong,China,Eastern Asia,operating,2000,unknown,electric,EAF,"https://www.gem.wiki/Guangdong_Guangqing_Metal_Technology_Co.,_Ltd._steel_plant",21.697069,111.848841
"Yangchun New Steel Co., Ltd.",阳春新钢铁有限责任公司,"Valin Holdings Group Co., Ltd. 31.57%, Hunan Valin Iron & Steel Group Co., Ltd. 14.83%, Hunan Development Investment Group Co., Ltd. 3.43%, other shareholders 50.17%","Hunan Valin Xiangtan Iron & Steel Co., Ltd. 51%, Xiangtan Iron & Steel Group Co., Ltd. 35%, other shareholders 14%",mixture,Guangdong,China,Eastern Asia,operating,3200,1931,integrated_BF,"BF, BOF","https://www.gem.wiki/Yangchun_New_Steel_Co.,_Ltd._plant",22.084904,111.642187
"Angang Lianzhong (Guangzhou) Stainless Steel Co., Ltd.",鞍钢联众（广州）不锈钢有限公司,"Ansteel Group Corporation 60%, other shareholders 40%","Ansteel Group Corporation 60%, Lianzhong Joint Stock Co., Ltd. 18.15%, Weilfu Co., Ltd. 17.44%, Yaohong Investment Co., Ltd. 4.01%, Xinfeng Investment Co., Ltd. 0.4%",mixture,Guangdong,China,Eastern Asia,operating,3220,unknown,electric,EAF,"https://www.gem.wiki/Angang_Lianzhong_(Guangzhou)_Stainless_Steel_Co.,_Ltd._plant",23.126822,113.505817
"Heyuan Derun Steel Co., Ltd.",河源德润钢铁有限公司,"Heyuan Derun Steel Co., Ltd. 100%: Wang Jinxin 68.08%, Chen Tianshun 17.69%, Chen Kaichun 14.23%","Heyuan Derun Steel Co., Ltd. 100%: Wang Jinxin 68.08%, Chen Tianshun 17.69%, Chen Kaichun 14.23%",private,Guangdong,China,Eastern Asia,operating,1200,unknown,electric,EAF,"https://www.gem.wiki/Heyuan_Derun_Steel_Co.,_Ltd._plant",23.693659,114.743048
"Heping Yueshen Steel Industry Co., Ltd.",和平县粤深钢实业有限公司,"Heping Yueshen Steel Industry Co., Ltd. 100%: Chen Xuejun 33.33%, Wang Xide 15.21%, He Sohei 15.2%, Wang Xiuhua 14.52%, Wang Weihong 10.96%, Lin Xiuhong 10.78%","Heping Yueshen Steel Industry Co., Ltd. 100%: Chen Xuejun 33.33%, Wang Xide 15.21%, He Sohei 15.2%, Wang Xiuhua 14.52%, Wang Weihong 10.96%, Lin Xiuhong 10.78%",private,Guangdong,China,Eastern Asia,operating,1610,unknown,electric,EAF,"https://www.gem.wiki/Heping_Yueshen_Steel_Industry_Co.,_Ltd._plant",24.49796,114.93888
"Guangxi Liuzhou Iron & Steel Group Co., Ltd.",广西柳州钢铁集团有限公司,Guangxi Zhuang Autonomous Region State-owned Assets Supervision and Administration Commission 100%,Guangxi Zhuang Autonomous Region State-owned Assets Supervision and Administration Commission 100%,state-owned,Guangxi,China,Eastern Asia,operating,14800,14000,integrated_BF,"BF, BOF","https://www.gem.wiki/Guangxi_Liuzhou_Iron_%26_Steel_Group_Co.,_Ltd._plant",24.385304,109.37963
"Beihai Chengde Ferronickel and Stainless Steel Co., Ltd.",广西北部湾新材料有限公司,"Guangxi Beibu Gulf International Port Group Co., Ltd. 100%","Guangxi Beibu Gulf International Port Group Co., Ltd.",state-owned,Guangxi,China,Eastern Asia,operating,3400,1190.8,integrated_BF,"BF, EAF","https://www.gem.wiki/Beihai_Chengde_Ferronickel_and_Stainless_Steel_Co.,_Ltd._plant",21.519924,109.506427
"Guangxi Shenglong Metallurgical Co., Ltd.",广西盛隆冶金有限公司,"Guangxi Shenglong Metallurgical Co., Ltd. 100%: Ke Xueli 61%, Chen Songguan 32.2%, Chen Liang 6.7%","Guangxi Shenglong Metallurgical Co., Ltd. 100%: Ke Xueli 61%, Chen Songguan 32.2%, Chen Liang 6.7%",private,Guangxi,China,Eastern Asia,operating,3400,2980,integrated_BF,"BF, BOF","https://www.gem.wiki/Guangxi_Shenglong_Metallurgical_Co.,_Ltd._steel_plant",21.687637,108.412344
"Guangxi Guigang Iron and Steel Group Co., Ltd.",广西贵港钢铁集团有限公司,"Tianjin Bohai State-owned Capital Investment Co., Ltd. 100%","Guangxi Guigang Yujiang Trading Co., Ltd. 45.83%, individual shareholders 54.17%",private,Guangxi,China,Eastern Asia,operating,4500,1660,integrated_BF,"BF, BOF","https://www.gem.wiki/Guangxi_Guigang_Iron_and_Steel_Group_Co.,_Ltd._plant",23.088182,109.634638
"Shougang Shuicheng Iron and Steel (Group) Co., Ltd.",首钢水城钢铁（集团）有限公司,"Beijing State-owned Capital Management Center 61.06%, China Huarong Asset Management Co., Ltd. 16.23%, China Cinda Asset Management Co., Ltd. 13.15%, China Construction Bank Corporation 4.69%, Guizhou Province People's Government State-owned Assets Management Committee 4.51%, China Great Wall Asset Management Co., Ltd. 0.36%","Shougang Group Co., Ltd. 61.06%, China Huarong Asset Management Co., Ltd. 16.23%, China Cinda Asset Management Co., Ltd. 13.15%, China Construction Bank Corporation 4.69%, Guizhou Province People's Government State-owned Assets Management Committee 4.51%, China Great Wall Asset Management Co., Ltd. 0.36%",mixture,Guizhou,China,Eastern Asia,closed,3300,3300,integrated_BF,"BF, BOF","https://www.gem.wiki/Shougang_Shuicheng_Iron_and_Steel_(Group)_Co.,_Ltd._plant",26.595229,104.877413
