project,project_other,parent,owner,ownership,province,country,region,status,steel_capacity,iron_capacity,process,equipment,url,lat,lng
"Wuhan Shunle Stainless Steel Co., Ltd.",武汉顺乐不锈钢有限公司,"Wuhan Shunle Stainless Steet Co., Ltd. 100%: Chen Yunquan 34.83%, Li Zhonghou 25.72%, Wang Bingen 22.45%, Hubei Jinshenglan Investment Co., Ltd. 17%","Wuhan Shunle Stainless Steet Co., Ltd. 100%: Chen Yunquan 34.83%, Li Zhonghou 25.72%, Wang Bingen 22.45%, Hubei Jinshenglan Investment Co., Ltd. 17%",private,Hubei,China,Eastern Asia,operating,1200,unknown,electric,EAF,"https://www.gem.wiki/Wuhan_Shunle_Stainless_Steel_Co.,_Ltd._plant",30.394434,114.257701
"Jingzhou Qunli Metal Products Co., Ltd.",荆州市群力金属制品有限公司,"Jingzhou Chuhang Special Steel Products Co., Ltd. 30%, Jingzhou Daren Metal Products Co., Ltd. 30%, Jingzhou Youyuan Metal Products Co., Ltd. 30%, other shareholders 10%","Jingzhou Chuhang Special Steel Products Co., Ltd. 30%, Jingzhou Daren Metal Products Co., Ltd. 30%, Jingzhou Youyuan Metal Products Co., Ltd. 30%, other shareholders 10%",private,Hubei,China,Eastern Asia,operating,1000,unknown,electric,EAF,"https://www.gem.wiki/Jingzhou_Qunli_Metal_Products_Co.,_Ltd._steel_plant",30.3505,112.353782
"Hubei Dazhan Iron & Steel Co., Ltd.",湖北大展钢铁有限公司,"Hubei Dazhan Steel & Iron Co., Ltd. 100%: Zhuo Xiaoqing 100%","Hubei Dazhan Steel & Iron Co., Ltd. 100%: Zhuo Xiaoqing 100%",private,Hubei,China,Eastern Asia,operating,1100,unknown,electric,EAF,"https://www.gem.wiki/Hubei_Dazhan_Iron_%26_Steel_Co.,_Ltd._plant",31.006945,113.753023
"Ezhou Hongtai Steel Co., Ltd.",鄂州鸿泰钢铁有限公司,"Ezhou Hongtai Steel Co., Ltd. 100%: Chen Hui 67.18%, Li Chunhua 32.82%","Ezhou Hongtai Steel Co., Ltd. 100%: Chen Hui 67.18%, Li Chunhua 32.82%",private,Hubei,China,Eastern Asia,operating,1200,unknown,electric,EAF,"https://www.gem.wiki/Ezhou_Hongtai_Steel_Co.,_Ltd._plant",30.532352,114.747597
"Hunan Valin Xiangtan Iron and Steel Co., Ltd.",湖南华菱湘潭钢铁有限公司,"Valin Holdings Group Co., Ltd. 26.22%, Hunan Development Investment Group Co., Ltd. 2.85%, other A-shares 70.93%","Hunan Valin Steel Holdings Co., Ltd. 100%",mixture,Hunan,China,Eastern Asia,operating,12000,6762.16,integrated_BF,"BF, BOF","https://www.gem.wiki/Hunan_Valin_Xiangtan_Iron_and_Steel_Co.,_Ltd._plant",27.81413,112.897377
"Hunan Valin Lianyuan Iron and Steel Co., Ltd.",湖南华菱涟源钢铁有限公司,"Valin Holdings Group Co., Ltd. 26.22%, Hunan Development Investment Group Co., Ltd. 2.85%, other A-shares 70.93%","Hunan Valin Steel Holdings Co., Ltd. 100%",mixture,Hunan,China,Eastern Asia,operating,8000,7030,integrated_BF,"BF, BOF","https://www.gem.wiki/Hunan_Valin_Lianyuan_Iron_and_Steel_Co.,_Ltd._plant",27.747782,111.967343
"Hengyang Valin Steel Tube Co., Ltd.",衡阳华菱钢管有限公司,"Valin Holdings Group Co., Ltd. 26.22%, Hunan Development Investment Group Co., Ltd. 2.85%, other A-shares 70.93%","Hunan Valin Steel Holdings Co., Ltd. 100%",mixture,Hunan,China,Eastern Asia,operating,1800,1200,integrated_BF,"BF, EAF","https://www.gem.wiki/Hengyang_Valin_Steel_Tube_Co.,_Ltd._plant",26.865484,112.576853
"Lengshuijiang Steel Co., Ltd.",冷水江钢铁有限责任公司,"Lengshujiang Xingbo Enterprise Management Co., Ltd. 51.51%, other shareholders 48.49%","Lengshuijiang Bochang Steel Co., Ltd. 81.2%, Shanghai Baoke Enterprise Development Co., Ltd. 15.03%, Guangdong Welmetal Group Co., Ltd. 3.78%",private,Hunan,China,Eastern Asia,operating,3000,3000,integrated_BF,"BF, BOF","https://www.gem.wiki/Lengshuijiang_Steel_Co.,_Ltd._plant",27.690401,111.437288
"Baotou Steel (Group) Co., Ltd.",包头钢铁（集团）有限责任公司,"Inner Mongolia Autonomous Region People's Government 76.83%, China Huarong Asset Management Co., Ltd. 15%, China Cinda Asset Management Co., Ltd. 6.23%, The China Orient Asset Management Co., Ltd. 1.94%","Inner Mongolia Autonomous Region People's Government 76.83%, China Huarong Asset Management Co., Ltd. 15%, China Cinda Asset Management Co., Ltd. 6.23%, The China Orient Asset Management Co., Ltd. 1.94%",mixture,Inner Mongolia,China,Eastern Asia,operating,16500,16500,integrated_BF,"BF, BOF","https://www.gem.wiki/Baotou_Steel_(Group)_Co.,_Ltd._plant",36.355653,113.057153
"Chifeng Yuanlian Steel Co., Ltd.",赤峰远联钢铁有限责任公司,"Tangshan Jiaqi International Trade Co., Ltd. 59.99%, Harvestone International Trade Co., Ltd.Of Tianjin Port Bonded 30.01%, Chifeng Yuanjian Iron and Steel Industry Co., Ltd. 10%","Tangshan Jiaqi International Trade Co., Ltd. 59.99%, Harvestone International Trade Co., Ltd.Of Tianjin Port Bonded 30.01%, Chifeng Yuanjian Iron and Steel Industry Co., Ltd. 10%",mixture,Inner Mongolia,China,Eastern Asia,operating,3000,1446.42,integrated_BF,"BF, BOF","https://www.gem.wiki/Chifeng_Yuanlian_Steel_Co.,_Ltd._plant",42.278115,119.015289
