project,status,owner,operator,output,size,coal_type,coal_grade,type,workforce,country,region,url,lat,lng
Shadashak Coal Mine,operating,North Coal Enterprise (NCE),North Coal Enterprise (NCE),1.1,,Bituminous,met,underground,,Afghanistan,Africa & Middle East,https://www.gem.wiki/Shadashak_Coal_Mine,35.863255,67.596674
Airly Coal Mine,operating,Centennial Coal,Centennial Airly Pty Ltd,1.8,34,Bituminous,thermal,underground,140,Australia,Australia & NZ,https://www.gem.wiki/Airly_Mine,-33.12900777,149.975
Alpha North Coal Mine,proposed,Mineralogy,Waratah Coal,46,1400,Subbituminous,thermal,underground_and_surface,2325,Australia,Australia & NZ,https://www.gem.wiki/Alpha_North_coal_project,-22.385333,146.340917
Alpha North Coal Mine,proposed,Mineralogy,Waratah Coal,10,1400,Subbituminous,thermal,underground_and_surface,,Australia,Australia & NZ,https://www.gem.wiki/Alpha_North_coal_project,-22.385333,146.340917
Angus Place Coal Mine,operating,"Centennial Springvale, Springvale SK Kores",Centennial Angus Place,2.5,30,Bituminous,thermal,underground,,Australia,Australia & NZ,https://www.gem.wiki/Angus_Place_Colliery,-33.349157,150.199019
Angus Place Coal Mine,proposed,Centennial Coal Company,Centennial Angus Place,4,30,Subbituminous,thermal,underground,,Australia,Australia & NZ,https://www.gem.wiki/Angus_Place_Colliery,-33.349157,150.199019
Appin Coal Mine,operating,South32,Illawarra Coal,7.5,141,Bituminous,met,underground,875,Australia,Australia & NZ,https://www.gem.wiki/Appin_mine,-34.211194,150.792736
Aquila Coal Mine,proposed,"Anglo American (70%), Mitsui & Company (30%)",Mastermyne,3.5,38,Bituminous,met,underground,,Australia,Australia & NZ,https://www.gem.wiki/Aquila_Mine,-22.990997,148.580506
Ashton Coal Mine,operating,Yancoal,Ashton Coal Operations,5.5,47,Bituminous,thermal_and_met,underground,,Australia,Australia & NZ,https://www.gem.wiki/Ashton_coal_project,-32.468942,151.078493
Ashton Coal Mine,proposed,Yancoal,Ashton Coal Operations,3.6,47,Bituminous,thermal_and_met,surface,,Australia,Australia & NZ,https://www.gem.wiki/Ashton_coal_project,-32.468942,151.078493
Baralaba Coal Mine,proposed,Peabody Energy,Baralaba Coal Company,1.9,39,Bituminous,thermal_and_met,surface,275,Australia,Australia & NZ,https://www.gem.wiki/Baralaba_coal_mine,-24.256025,149.851007
Baralaba Coal Mine,operating,Baralaba Coal Company,Wonbindi Coal,4.1,79,Bituminous,thermal_and_met,surface,,Australia,Australia & NZ,https://www.gem.wiki/Baralaba_coal_mine,-24.256025,149.851007
Belview Coal Mine,proposed,Golden Energy Mines,Stanmore Coal,2.6,330,Bituminous,met,underground,,Australia,Australia & NZ,https://www.gem.wiki/Belview_coal_project,-23.587132,148.977385
Bengalla Coal Mine,operating,Yancoal,Coal and Allied Industries,8.3,229,Lignite,thermal,surface,420,Australia,Australia & NZ,https://www.gem.wiki/Bengalla_mine,-32.268076,150.84
Blackwater Coal Mine,operating,"BHP (50%), Mitsubishi Corporation (50%)","Queensland Coal, BHP Mitsubishi Alliance (BMA)",14,375,Bituminous,thermal_and_met,surface,1530,Australia,Australia & NZ,https://www.gem.wiki/Blackwater_mine,-23.685585,148.807361
Blair Athol Coal Mine,operating,TerraCom Ltd,Orion Mining,3,,Subbituminous,thermal,surface,,Australia,Australia & NZ,https://www.gem.wiki/Blair_Athol_mine,-22.703221,147.54353
Bloomfield Coal Mine,operating,Bloomfield Group of Companies,Bloomfield Collieries Pty Ltd,1.3,14,Bituminous,thermal_and_met,surface,,Australia,Australia & NZ,https://www.gem.wiki/Bloomfield_Mine_and_Colliery ,-32.7928986,151.5841947
Boggabri Coal Mine,operating,Idemitsu Australia Resources,Boggabri Coal Pty Ltd,7,145,Bituminous,thermal_and_met,surface,,Australia,Australia & NZ,https://www.gem.wiki/Boggabri_coal_mine,-30.6116182,150.1550389
Boundary Hill Coal Mine,operating,Anglo American,Anglo Coal (Callide Management)Pty Ltd,2.6,,Bituminous,thermal,surface,,Australia,Australia & NZ,https://www.gem.wiki/Boundary_Hill_mine,-24.199444,150.494057
Broadmeadow Coal Mine,operating,"BHP Billiton Mitsubishi Alliance, which is owned by BHP Billiton Ltd (50%) and Mitsubishi Development Pty Ltd",B.M Alliance Coal Operations Pty Ltd,4.8,181,Bituminous,met,underground,,Australia,Australia & NZ,https://www.gem.wiki/Broadmeadow_mine,-21.8025693,147.98
Bulga Coal Mine,operating,Glencore,Bulga Coal Management (BCM),9,219,Bituminous,thermal_and_met,underground_and_surface,750,Australia,Australia & NZ,https://www.gem.wiki/Bulga_coal_mine,-32.6795434,151.1000279
Byerwen Coal Mine,operating,"QCoal (85%), JFE Steel (15%)",Byerwen Coal,10,690,Bituminous,met,surface,545,Australia,Australia & NZ,https://www.gem.wiki/Byerwen_Coal_Project,-21.242828,147.835392
Callide Coal Mine,operating,Batchfire Resources,Batchfire Resources,10,195,Subbituminous,thermal,surface,450,Australia,Australia & NZ,https://www.gem.wiki/Callide_mine,-24.310921,150.622173
Cameby Downs Coal Mine,operating,Yanzhou Coal Mining Company,Yancoal Australia,2.4,234,Bituminous,thermal,surface,,Australia,Australia & NZ,https://www.gem.wiki/Cameby_Downs_mine,-26.6540316,150.3354945
Capcoal Mine Complex,operating,Anglo American,Anglo American,11,109,Bituminous,met,underground_and_surface,500,Australia,Australia & NZ,https://www.gem.wiki/Capcoal_Mining_Complex,-22.990997,148.580506
Carborough Downs Coal Mine,operating,AMCI and Riverstone,Fitzroy Australia Resources,3.5,177,Bituminous,met,underground,,Australia,Australia & NZ,https://www.gem.wiki/Carborough_Downs_mine,-21.9502,148.2094
Carmichael Coal Project,proposed,Adani Group,Adani Mining,10,1160,Subbituminous,thermal,underground_and_surface,1464,Australia,Australia & NZ,https://www.gem.wiki/Carmichael_Coal_Project,-22.073611,146.329722
Carmichael Coal Project,proposed,Adani Group,Adani Mining,18,1160,Subbituminous,thermal,underground_and_surface,,Australia,Australia & NZ,https://www.gem.wiki/Carmichael_Coal_Project,-22.073611,146.329722
Carmichael Coal Project,proposed,Adani Group,Adani Mining,32,1160,Subbituminous,thermal,underground_and_surface,,Australia,Australia & NZ,https://www.gem.wiki/Carmichael_Coal_Project,-22.073611,146.329722
Caval Ridge Coal Mine,proposed,"BHP (50%), Mitsubishi Corporation (50%)","Queensland Coal, BHP Mitsubishi Alliance (BMA)",2,207,Bituminous,met,surface,,Australia,Australia & NZ,https://www.gem.wiki/Caval_Ridge_Project,-22.153919,148.058094
Caval Ridge Coal Mine,operating,"BHP (50%), Mitsubishi Corporation (50%)","Queensland Coal, BHP Mitsubishi Alliance (BMA)",5.5,207,Bituminous,met,surface,,Australia,Australia & NZ,https://www.gem.wiki/Caval_Ridge_Project,-22.153919,148.058094
Central Queensland Coal Mine,proposed,Mineralogy,Central Queensland Coal (99%) and Fairway Coal,10,49,Bituminous,thermal_and_met,surface,,Australia,Australia & NZ,https://www.gem.wiki/Central_Queensland_Coal_Project,-22.679446,149.659662
Clarence Colliery,operating,Banpu,Clarence Joint Venture: Centennial Coal owns 85% of the mine in a joint venture with SK Energy Australia Pty Ltd (15%),1.6,32,Bituminous,thermal,underground,,Australia,Australia & NZ,https://www.gem.wiki/Clarence_colliery,-33.4597,150.2479
Clermont Coal Mine,operating,"Glencore (37%), Sumitomo Corporation (37%), J Power (22%), J.C.D. Australia (4%)",Glencore,11.5,85,Bituminous,thermal,surface,629,Australia,Australia & NZ,https://www.gem.wiki/Clermont_mine,-22.7201075,147.6195648
Collinsville Coal Mine,operating,Glencore,Newlands Collinsville Abbot Point (NCA),3.2,75,Bituminous,thermal_and_met,surface,,Australia,Australia & NZ,https://www.gem.wiki/Collinsville_Coal_mine,-20.5567302,147.8148229
Commodore Coal Mine,operating,InterGen Australia ,Downer EDI,3.6,177,Bituminous,thermal,surface,,Australia,Australia & NZ,https://www.gem.wiki/Commodore_mine,-27.9343501,151.2554422
Cows Coal Mine,operating,QCoal Group,QCoal,1,,Bituminous,thermal_and_met,surface,20,Australia,Australia & NZ,https://www.gem.wiki/Cows_coal_mine,-20.707358,147.860938
Curragh Coal Mine,proposed,Coronado Global,Coronado Global,3,251,Bituminous,thermal_and_met,surface,,Australia,Australia & NZ,https://www.gem.wiki/Curragh_Mine,-23.493219,148.842723
Curragh Coal Mine,operating,Coronado Global,Coronado Global,12,251,Bituminous,thermal_and_met,surface,,Australia,Australia & NZ,https://www.gem.wiki/Curragh_Mine,-23.493219,148.84
Daunia Coal Mine,operating,"BHP Billiton, Mitsubishi",BHP Billiton Mitsubishi Alliance (BMA),4.5,145,Bituminous,met,surface,,Australia,Australia & NZ,https://www.gem.wiki/Daunia_coal_project,-22.041322,148.270717
Dawson Complex,operating,"Anglo American (51%), Mitsui Holdings (49%)",Anglo American,4,145,Bituminous,thermal_and_met,surface,,Australia,Australia & NZ,https://www.gem.wiki/Dawson_mine,-24.6168211,150.0504833
Dendrobium Coal Mine,operating,South32,Illawarra Coal,5.2,92,Bituminous,met,underground,,Australia,Australia & NZ,https://www.gem.wiki/Dendrobium_mine,-34.419776,150.826135
Drake Coal Mine,operating,QCoal,QCoal,6,200,Bituminous,thermal_and_met,surface,,Australia,Australia & NZ,https://www.gem.wiki/Drake_coal_mine,-20.677998,147.784974
Dysart East Coal Project,proposed,Bengal Energy,Bengal Coal,1.9,32,Bituminous,met,underground,200,Australia,Australia & NZ,https://www.gem.wiki/Dysart_East_coal_project,-22.550335,148.414404
Eagle Downs Coal Project,proposed,"China BaoWu Steel Group (50%), South32 (50%)","Aquila, South33",3.5,254,Bituminous,met,underground,,Australia,Australia & NZ,https://www.gem.wiki/Eagle_Downs_Coal_Project,-22.189318,148.204249
Eagle Downs Coal Project,proposed,"China BaoWu Steel Group (50%), South32 (50%)","Aquila, South32",4.5,254,Bituminous,met,underground,,Australia,Australia & NZ,https://www.gem.wiki/Eagle_Downs_Coal_Project,-22.189318,148.204249
Ensham Coal Mine,operating,Idemitsu Australia Resources,Ensham Resources Pty Ltd,5.3,724,Subbituminous,thermal,underground_and_surface,331,Australia,Australia & NZ,https://www.gem.wiki/Ensham_mine,-23.454464,148.497455
Ewington Coal Mine,operating,Lanco Infratech Limited,Griffin Coal,2,61,Bituminous,thermal_and_met,surface,,Australia,Australia & NZ,https://www.gem.wiki/Ewington_mine,-33.3624,116.25
Foxleigh Coal Mine,operating,"QMetco (70%), Posco Australia (20%), Nippon Steel Australia (10%)",Middlemount South Pty Ltd,3,70,Bituminous,met,surface,,Australia,Australia & NZ,https://www.gem.wiki/Foxleigh_coal_mine,-22.997778,148.803889
Galilee Coal Mine,proposed,Mineralogy,Waratah Coal,40,1000,Subbituminous,thermal,underground_and_surface,2300,Australia,Australia & NZ,https://www.gem.wiki/Galilee_Coal_Project,-23.498536,145.94229
Glendell Coal Mine,proposed,Glencore,Mt Owen,5.5,10,Bituminous,thermal_and_met,surface,,Australia,Australia & NZ,https://www.gem.wiki/Glendell_coal_mine,-32.43544,151.065604
Glendell Coal Mine,operating,Glencore,Mt Owen Pty,4.5,135,Subbituminous,,surface,,Australia,Australia & NZ,https://www.gem.wiki/Glendell_coal_mine,-32.395542,151.071668
Goonyella-Riverside Coal Mine,operating,"BHP (50%), Mitsubishi Corporation (50%)","Queensland Coal, BHP Mitsubishi Alliance (BMA)",17.1,818,Bituminous,met,surface,591,Australia,Australia & NZ,https://www.gem.wiki/Goonyella_Riverside_mine,-21.792321,147.962045
Gregory Crinum Coal Mines,proposed,Sojitz Corporation,Sojitz Corporation,3,27,Bituminous,met,underground_and_surface,,Australia,Australia & NZ,https://www.gem.wiki/Gregory_Crinum_mine,-23.1491384,148.3875874
Grosvenor Coal Mine,operating,Anglo American,Anglo American Coal,4.7,80,Bituminous,met,underground,,Australia,Australia & NZ,https://www.gem.wiki/Grosvenor_coal_project,-21.871331,147.956742
Hail Creek Coal Mine,operating,"Glencore (82%), NSSMC (8%), Marubeni (7%), Sumitomo (3%)",Glencore,9.4,142,Bituminous,thermal_and_met,surface,436,Australia,Australia & NZ,https://www.gem.wiki/Hail_Creek_coal_mine,-21.484811,148.37
Hillalong Coal Mine,proposed,Shandong Energy Group,Queensland Coal Exploration,4.2,,Bituminous,thermal_and_met,underground_and_surface,436,Australia,Australia & NZ,https://www.gem.wiki/Hillalong_coal_mine,-21.416653,148.31
Hume Coal Mine,proposed,POSCO,Hume Coal,3.5,50,Bituminous,met,underground,,Australia,Australia & NZ,https://www.gem.wiki/Hume_coal_project,-34.54081,150.284465
Hunter Valley North Coal Mine,operating,"Yancoal (51%), Glencore (49%) ",,8.4,650,Bituminous,thermal_and_met,surface,1200,Australia,Australia & NZ,https://www.gem.wiki/Hunter_Valley_North_coal_mine,-32.4657844,150.9734981
Hunter Valley South Coal Mine,operating,"Yancoal (51%), Glencore (49%) ",,10.8,650,Bituminous,thermal_and_met,surface,1200,Australia,Australia & NZ,https://www.gem.wiki/Hunter_Valley_South_coal_mine,-32.5245107,150.9819012
Hutton Coal Mine,proposed,Valient Resources,Valient Resources,24,632,Bituminous,met,underground,,Australia,Australia & NZ,https://www.gem.wiki/Hutton_coking_coal_project,-25.951645,148.961201
Hutton Coal Mine,proposed,Valient Resources,Valient Resources,24,232,Bituminous,met,underground,,Australia,Australia & NZ,https://www.gem.wiki/Hutton_coking_coal_project,-25.951645,148.961201
Ironbark No. 1 Coal Mine,proposed,"Fitzroy Australia Resources (60%), Nebo Central Coal (40%)",,6,61,Bituminous,thermal_and_met,underground,350,Australia,Australia & NZ,https://www.gem.wiki/Ironbark_No._1_coal_mine,-21.801604,148.223014
Isaac Downs Coal Mine,proposed,Golden Energy Mines,Stanmore Coal,2.2,35,Bituminous,met,surface,,Australia,Australia & NZ,https://www.gem.wiki/Isaac_Downs_coal_mine,-22.0189161,148.1427545
Isaac Plains East Coal Mine,operating,Golden Energy Mines,Stanmore Coal,2.9,12,Bituminous,met,surface,,Australia,Australia & NZ,https://www.gem.wiki/Integrated_Isaac_Plains_Project,-21.9718375,148.1132931
Jax Coal Mine,operating,QCoal Group,QCoal,1.8,36,Bituminous,thermal_and_met,surface,,Australia,Australia & NZ,https://www.gem.wiki/Jax_coal_mine,-20.713736,147.860166
Jellinbah Coal Mine,proposed,"Jellinbah (70%), Marubeni Coal (15%), Sojitz Coal (15%)",Jellinbah Group,1,196,Bituminous,met,surface,,Australia,Australia & NZ,https://www.gem.wiki/Jellinbah_coal_mine,-23.406874,148.950644
Jellinbah Coal Mine,operating,"Jellinbah (70%), Marubeni Coal (15%), Sojitz Coal (15%)",Jellinbah Group,5,196,Bituminous,met,surface,,Australia,Australia & NZ,https://www.gem.wiki/Jellinbah_coal_mine,-23.406874,148.950644
Karin Coal Mine,proposed,"Vitrinite (50%), Itochu (50%)",,1.7,123,Bituminous,met,underground_and_surface,,Australia,Australia & NZ,https://www.gem.wiki/Karin_coal_project,-23.058371,147.581142
Kestrel Coal Mine,operating,"EMR Capital Group (42%), Adaro Energy (38%), Mitsui and Company (20%)",Kestrel Coal Resources,6.8,145,Bituminous,met,underground,375,Australia,Australia & NZ,https://www.gem.wiki/Kestrel_mine,-23.236333,148.3583273
Kogan Creek ,operating,CS Energy,CS Energy,2.8,310,Subbituminous,thermal,surface,,Australia,Australia & NZ,https://www.gem.wiki/Kogan_Creek_mine,-26.9384276,150.7743816
Lake Vermont Coal Mine,proposed,"Jellinbah (70%), Marubeni Coal (10%), Sojitz Coal (10%), AMCI (10%)",Jellinbah Group,4,184,Bituminous,met,underground_and_surface,350,Australia,Australia & NZ,https://www.gem.wiki/Lake_Vermont_Coal_Project,-22.3894938,148.3769527
Lake Vermont Coal Mine,operating,"Jellinbah (70%), Marubeni Coal (10%), Sojitz Coal (10%), AMCI (10%)",Jellinbah Group,8,184,Bituminous,thermal_and_met,surface,,Australia,Australia & NZ,https://www.gem.wiki/Lake_Vermont_coal_mine,-22.4611726,148.4056045
Liddell Coal Mine,operating,"Glencore, Mitsui Matsushima Australia",,4,11,Bituminous,thermal_and_met,surface,,Australia,Australia & NZ,https://www.gem.wiki/Liddell_Colliery,-32.4092227,151.0285539
Loy Yang Coal Mine,operating,AGL Energy,Loy Yang,28,1680,Subbituminous,thermal,surface,,Australia,Australia & NZ,https://www.gem.wiki/Loy_Yang_mine,-38.2347,146.564
Mandalong Coal Mine,operating,Centennial Coal Company,Centennial Mandalong,5.4,68,Bituminous,thermal,underground,,Australia,Australia & NZ,https://www.gem.wiki/Mandalong_mine,-33.119111,151.461844
Mangoola Coal Mine,operating,Glencore,Mangoola Coal Operations,13.5,81,Subbituminous,thermal,surface,340,Australia,Australia & NZ,https://www.gem.wiki/Mangoola_coal_mine,-32.294922,150.706712
Maules Creek Coal Mine,operating,"Whitehaven Coal (75%), Itochu (15%), J Power (10%)",Whitehaven Coal,8.8,362,Bituminous,thermal_and_met,surface,700,Australia,Australia & NZ,https://www.gem.wiki/Maules_Creek_coal_mine,-30.562606,150.11498
Maxwell Coal Mine,proposed,Malabar Coal,Maxwell Ventures,8,148,Bituminous,met,underground,350,Australia,Australia & NZ,https://www.gem.wiki/Maxwell_coal_mine,-32.433479,150.824735
Meandu Coal Mine,operating,Golden Energy Mines,Stanmore Coal,7.6,36,Subbituminous,thermal,surface,,Australia,Australia & NZ,https://www.gem.wiki/Meandu_coal_mine,-26.813543,151.911523
Meteor Downs South Coal Mine (Mds),proposed,"Sojitz Corporation (50%), U&D Mining Industry (50%)",Sojitz Coal Mining,1.5,13,Bituminous,thermal,surface,,Australia,Australia & NZ,https://www.gem.wiki/Meteor_Downs_South_coal_mine,-23.90957,148.060084
Middlemount Coal Mine,operating,"Peabody Energy, Yan Coal",Middlemount Coal Limited,4.1,123,Subbituminous,,surface,,Australia,Australia & NZ,https://www.gem.wiki/Middlemount_coal_mine,-22.848131,148.631626
Minerva Coal Mine,operating,"Sojitz, KORES",Sojitz Coal Mining Pty Ltd,2.8,,Subbituminous,thermal,surface,,Australia,Australia & NZ,https://www.gem.wiki/Minerva_coal_mine,-23.921376,148.047135
Minyango Coking Coal Project,proposed,QCoal,Bounty Mining Limited (Bounty),9,78,Bituminous,thermal_and_met,underground,,Australia,Australia & NZ,https://www.gem.wiki/Minyango_Coal_project,-23.497583,148.807134
Moolarben Coal Mine,operating,Yancoal,"Moolarben Coal Mines, Kores Australia Moolarben Coal, Sojitz Moolarben Resources",20.5,251,Subbituminous,thermal,underground_and_surface,300,Australia,Australia & NZ,https://www.gem.wiki/Moolarben_Coal_Mine,-32.2828165,149.7591596
Moolarben Coal Mine,proposed,Yancoal,"Moolarben Coal Mines, Kores Australia Moolarben Coal, Sojitz Moolarben Resources",3,251,Subbituminous,thermal,underground_and_surface,,Australia,Australia & NZ,https://www.gem.wiki/Moolarben_Coal_Mine,-32.2828165,149.7591596
Moorlands Coal Mine,proposed,Cuesta Coal,Cuesta Coal,1.9,113,Subbituminous,thermal,surface,,Australia,Australia & NZ,https://www.gem.wiki/Moorlands_coal_project,-22.816656,147.379922
Moranbah North Coal Mine,operating,Anglo American,Anglo American Coal,9,129,Bituminous,met,underground,,Australia,Australia & NZ,https://www.gem.wiki/Moranbah_North_coal_mine,-21.871331,147.956742
Mount Arthur Coal Mine,operating,BHP,New South Wales Energy Coal (NSWEC),17,213,Bituminous,met,surface,,Australia,Australia & NZ,https://www.gem.wiki/Mount_Arthur_coal_mine,-32.337022,150.856144
Mount Pleasant Coal Mine,proposed,Mach Energy,Mach Energy,10.5,459,Bituminous,thermal,surface,220,Australia,Australia & NZ,https://www.gem.wiki/Mount_Pleasant_coal_mine,-32.315766,150.840552
Mount Pleasant Coal Mine,operating,Mach Energy,Mach Energy,10.5,459,Bituminous,thermal,surface,340,Australia,Australia & NZ,https://www.gem.wiki/Mount_Pleasant_coal_mine,-32.315766,150.840552
Mt Owen Coal Mine,operating,Glencore,Thiess,7.6,89,Bituminous,thermal_and_met,surface,,Australia,Australia & NZ,https://www.gem.wiki/Mt_Owen_mine,-32.4066392,151.085603
Mt Thorley Warkworth Coal Mine,operating,Yancoal,"Yancoal Australia, POSCO Australia, Nippon Steel Australia, Mitsubishi Materials",12,315,Bituminous,thermal_and_met,surface,710,Australia,Australia & NZ,https://www.gem.wiki/Mt_Thorley_Warkworth_coal_mine,-32.60700995,151.0901636
Mt Thorley Warkworth Coal Mine,proposed,Yancoal,"Yancoal Australia, POSCO Australia, Nippon Steel Australia, Mitsubishi Materials",6,315,Bituminous,thermal_and_met,underground,,Australia,Australia & NZ,https://www.gem.wiki/Mt_Thorley_Warkworth_coal_mine,-32.60700995,151.0901636
Muswellbrook No. 2 Coal Mine,operating,Idemitsu Australia Resources,Muswellbrook Coal Company,1.4,,Subbituminous,thermal,surface,150,Australia,Australia & NZ,https://www.gem.wiki/Muswellbrook_No._2_coal_mine,-32.244988,150.941392
Muswellbrook No. 2 Coal Mine,proposed,Idemitsu Australia Resources,Muswellbrook Coal Company,13.6,,Bituminous,,surface,,Australia,Australia & NZ,https://www.gem.wiki/Muswellbrook_No._2_coal_mine,-32.244988,150.941392
Myuna Coal Mine,operating,Banpu Public Company,Centennial Coal,2.4,41.17,Subbituminous,thermal,underground,,Australia,Australia & NZ,https://www.gem.wiki/Myuna_coal_mine#External_Articles,-33.060111,151.568738
Narrabri Coal Mine,operating,"Whitehaven (70%), J Power (8%)",Whitehaven Coal,5.6,102,Bituminous,thermal,underground,500,Australia,Australia & NZ,https://www.gem.wiki/Narrabri_coal_mine,-30.519437,149.903821
New Acland Coal Mine,proposed,New Hope Group,New Hope Coal,2.7,80,Bituminous,thermal,surface,487,Australia,Australia & NZ,https://www.gem.wiki/New_Acland_mine,-27.278281,151.710176
New Acland Coal Mine,operating,New Hope Group,New Hope Coal,4.8,80.4,Subbituminous,thermal,surface,,Australia,Australia & NZ,https://www.gem.wiki/New_Acland_mine,-27.278281,151.710176
Newlands Coal Mine,operating,Glencore,Glencore,5.5,20,Bituminous,thermal_and_met,surface,600,Australia,Australia & NZ,https://www.gem.wiki/Newlands_coal_mine,-21.201424,147.887969
Newstan Coal Mine,proposed,Centennial Coal Company,Centennial Coal Company,1.6,68,Bituminous,thermal_and_met,underground,,Australia,Australia & NZ,https://www.gem.wiki/Newstan_coal_mine,-32.978628,151.574319
Oaky Creek Coal Mine,operating,Glencore,"Glencore, Sumisho Coal Australia, Itochu Coal Resources Australia",7.5,54,Bituminous,met,underground,,Australia,Australia & NZ,https://www.gem.wiki/Oaky_Creek_coal_mine,-23.072256,148.483994
Olive Downs Coal Mine,proposed,Pembroke Resources,Pembroke Resources,15,514,Bituminous,met,surface,1000,Australia,Australia & NZ,https://www.gem.wiki/Olive_Downs_coal_mine,-22.2204628,148.4033203
Peak Downs Coal Mine,operating,"BHP (50%), Mitsubishi Corporation (50%)","Queensland Coal, BHP Mitsubishi Alliance (BMA)",11.8,869,Bituminous,met,surface,1760,Australia,Australia & NZ,https://www.gem.wiki/Peak_Downs_coal_mine,-22.293798,148.22731
Poitrel Coal Mine,operating,BHP Mitsubishi Alliance,BHP Mitsui Coal,4.1,61,Bituminous,met,surface,,Australia,Australia & NZ,https://www.gem.wiki/Poitrel_mine,-22.041216,148.234381
Premier Coal Mine,operating,YanCoal,Premier Coal,4,152.1,Subbituminous,thermal,surface,,Australia,Australia & NZ,https://www.gem.wiki/Premier_mine,-33.391728,116.286509
Range Coal Project,proposed,Golden Energy Mines,Stanmore Coal,5,94,Bituminous,thermal,surface,,Australia,Australia & NZ,https://www.gem.wiki/Range_coal_project,-26.230392,150.272257
Ravensworth Coal Mine,operating,"Glencore (90%), Itochu (10%) ",Ravensworth Operations,9,140,Bituminous,thermal_and_met,surface,,Australia,Australia & NZ,https://www.gem.wiki/Ravensworth_mine,-32.4426478,151.0063967
Red Hill Coal Project,proposed,"BHP (50%), Mitsubishi Corporation (50%)","Queensland Coal, BHP Mitsubishi Alliance (BMA)",14,1711,Bituminous,met,underground_and_surface,1500,Australia,Australia & NZ,https://www.gem.wiki/Red_Hill_coal_project,-21.747589,147.964574
Rix Creek Coal Mine,operating,Bloomfield Group,,3,,Bituminous,thermal_and_met,underground_and_surface,,Australia,Australia & NZ,https://www.gem.wiki/Rix_Creek_coal_mine,-32.513314,151.143889
Rolleston Coal Mine,proposed,Glencore,"Glencore, Sumisho Coal Australia, Winfield Energy",6,200,Bituminous,thermal,surface,,Australia,Australia & NZ,https://www.gem.wiki/Rolleston_coal_mine,-24.421069,148.408099
Rolleston Coal Mine,operating,Glencore,"Glencore, Sumisho Coal Australia, Winfield Energy",15.2,200,Bituminous,thermal,surface,,Australia,Australia & NZ,https://www.gem.wiki/Rolleston_coal_mine,-24.421069,148.408099
Russell Vale Colliery,proposed,Wollongong Coal,Wollongong Coal,1,92,Bituminous,met,underground,,Australia,Australia & NZ,https://www.gem.wiki/WCL_Russell_Vale_Colliery,-34.35566,150.89169
Saraji Coal Mine,operating,"BHP (50%), Mitsubishi Corporation (50%)","Queensland Coal, BHP Mitsubishi Alliance (BMA)",9.8,162,Bituminous,met,surface,,Australia,Australia & NZ,https://www.gem.wiki/Saraji_coal_mine,-22.371371,148.299848
Saraji East Coal Mine,proposed,"BHP (50%), Mitsubishi Corporation (50%)","Queensland Coal, BHP Mitsubishi Alliance (BMA)",7,502,Bituminous,met,underground,500,Australia,Australia & NZ,https://www.gem.wiki/Saraji_East_coal_mine,-22.371371,148.299848
Sonoma Coal Mine,operating,QCoal,,4,46,Subbituminous,,surface,,Australia,Australia & NZ,https://www.gem.wiki/Sonoma_mine,-20.62,147.86
South Walker Creek Coal Mine,operating,"BHP (50%), Mitsubishi Corporation (50%)","Queensland Coal, BHP Mitsui Coal (BMC)",7.9,137,Bituminous,met,surface,,Australia,Australia & NZ,https://www.gem.wiki/South_Walker_Creek_mine,-21.753393,148.443289
Springsure Coal Mine Project,proposed,TerraCom,Springsure Mining,1.6,148,Bituminous,thermal_and_met,underground,104,Australia,Australia & NZ,https://www.gem.wiki/Springsure_coal_project,-23.9809265,148.0394281
Springsure Creek Coal Project,proposed,Adamelia Group,Adamelia Resources,5.5,387,Bituminous,thermal,underground,585,Australia,Australia & NZ,https://www.gem.wiki/Springsure_Creek_coal_project,-24.008602,148.372046
Springsure Creek Coal Project,proposed,Adamelia Group,Adamelia Resources,6,387,Bituminous,thermal,underground,,Australia,Australia & NZ,https://www.gem.wiki/Springsure_Creek_coal_project,-24.008602,148.372046
Springvale Coal Mine,operating,Centennial Coal,"Centennial Springvale Limited, Springvale SK Kores",3.4,63.00,Subbituminous,thermal,underground,,Australia,Australia & NZ,https://www.gem.wiki/Springvale_coal_mine,-33.4006,150.105627
Tahmoor Coal Mine,operating,"SIMEC Mining Division, GFG Alliance",Tahmoor Coal,1.8,40,Bituminous,met,underground,400,Australia,Australia & NZ,https://www.gem.wiki/Tahmoor_coal_complex,-34.2532732,150.5753104
Tahmoor South Coal Mine,proposed,GFG Alliance,Tahmoor Coal,2.2,40,Bituminous,met,underground,400,Australia,Australia & NZ,https://www.gem.wiki/Tahmoor_coal_complex,-34.2532732,150.5753104
Tarrawonga Coal Mine,operating,Whitehaven,Whitehaven,3,37,Subbituminous,,surface,,Australia,Australia & NZ,https://www.gem.wiki/Tarrawonga_coal_mine,-30.639584,150.167277
Ulan Complex Coal Mine,operating,Glencore,Ulan Coal Mines Limited,10.4,151,Bituminous,thermal,underground,931,Australia,Australia & NZ,https://www.gem.wiki/Ulan_coal_mines,-32.242539,149.749697
United Wambo Coal Mine,proposed,"Peabody Energy (50%), Glencore (50%)",United Collieries and Wambo Coal,5,150,Bituminous,thermal_and_met,surface,500,Australia,Australia & NZ,https://www.gem.wiki/United_Wambo_coal_project,-32.549369,150.984787
